# Filtro pasabajos RLC - barrido de respuesta en frecuencia
# ATENCION: datos SINTETICOS generados para el ejemplo de Xtal.
#           No son mediciones reales de laboratorio.
# Instrumento: analizador de respuesta en frecuencia (barrido logaritmico)
# Excitacion: 1.000 Vpp, acoplamiento AC
Frequency (Hz),Magnitude (dB),Phase (deg)
20.000,0.0417,-0.137
25.179,0.1488,0.442
31.698,0.0484,-3.269
39.905,-0.0262,-1.244
50.238,-0.0191,-1.591
63.246,0.1423,-0.459
79.621,-0.0419,-1.359
100.237,0.0933,-2.635
126.191,0.0224,-2.803
158.866,0.1442,-5.428
200.000,0.2882,-4.469
251.785,0.4537,-9.043
316.979,0.7193,-10.905
399.052,0.8818,-14.326
502.377,1.6128,-18.459
632.456,2.7102,-26.666
796.214,4.2642,-43.711
1002.374,5.2757,-75.693
1261.915,2.3004,-119.888
1588.656,-3.2558,-145.331
2000.000,-8.4778,-155.695
2517.851,-13.1728,-162.797
3169.786,-17.9529,-168.950
3990.525,-22.4065,-171.905
5023.773,-26.5310,-174.252
6324.555,-30.4832,-174.270
7962.143,-34.6992,-175.806
10023.745,-38.6054,-177.165
12619.147,-42.6250,-176.960
15886.565,-46.7151,-175.991
20000.000,-50.6910,-177.793
25178.508,-54.8250,-179.969
31697.864,-58.7736,-179.132
39905.246,-62.6455,-178.584
50237.729,-66.7014,-178.486
63245.553,-70.7103,-178.872
79621.434,-74.6854,-179.181
