# Filtro pasabajos RLC - respuesta al escalon
# ATENCION: datos SINTETICOS generados para el ejemplo de Xtal.
# Instrumento: osciloscopio de 2 canales, 500 puntos, 500 us/div
# Trigger: flanco de subida de CH1 en t = 0 (los tiempos negativos son pretrigger)
# CH1 = entrada (generador), CH2 = salida (sobre el capacitor)
Time (s),CH1 (V),CH2 (V)
-0.000500000,0.00046,-0.00188
-0.000491984,-0.00216,-0.00561
-0.000483968,0.00321,0.00939
-0.000475952,-0.00477,0.00894
-0.000467936,-0.00217,-0.00517
-0.000459920,-0.00782,0.00608
-0.000451904,0.00345,-0.00926
-0.000443888,-0.00174,-0.00701
-0.000435872,0.00122,0.00053
-0.000427856,0.00462,0.00079
-0.000419840,0.00098,-0.00492
-0.000411824,0.00136,-0.00466
-0.000403808,0.00097,0.00571
-0.000395792,0.01033,0.00307
-0.000387776,-0.00612,-0.00261
-0.000379760,-0.00044,0.00700
-0.000371743,0.00511,0.01332
-0.000363727,0.00529,-0.00118
-0.000355711,0.00018,0.00529
-0.000347695,-0.00405,0.00992
-0.000339679,-0.00432,0.00434
-0.000331663,0.00566,-0.00592
-0.000323647,0.00308,-0.00225
-0.000315631,0.00716,0.00590
-0.000307615,0.00737,0.00447
-0.000299599,-0.01128,0.00002
-0.000291583,-0.00820,0.00284
-0.000283567,0.00094,0.00434
-0.000275551,0.00625,0.00056
-0.000267535,-0.00090,-0.00559
-0.000259519,-0.00139,0.00652
-0.000251503,0.00158,0.00540
-0.000243487,0.00083,0.00556
-0.000235471,-0.00910,-0.00595
-0.000227455,-0.00259,-0.00802
-0.000219439,-0.00645,-0.01369
-0.000211423,-0.00070,-0.00724
-0.000203407,-0.00341,-0.00079
-0.000195391,0.00244,0.00140
-0.000187375,-0.00740,0.00547
-0.000179359,-0.00795,0.00291
-0.000171343,0.00416,0.00135
-0.000163327,-0.01663,-0.00320
-0.000155311,0.01237,-0.00019
-0.000147295,-0.00702,0.01084
-0.000139279,-0.00192,0.01490
-0.000131263,-0.01031,-0.00875
-0.000123246,-0.00104,-0.00771
-0.000115230,0.00081,-0.00069
-0.000107214,-0.00673,-0.00748
-0.000099198,0.01114,0.01068
-0.000091182,-0.00186,-0.00186
-0.000083166,-0.00571,-0.00946
-0.000075150,-0.00517,0.00059
-0.000067134,-0.00704,0.00464
-0.000059118,0.00368,-0.00318
-0.000051102,0.00645,0.00011
-0.000043086,-0.00285,0.00503
-0.000035070,-0.00301,-0.00247
-0.000027054,-0.00310,0.00676
-0.000019038,-0.00611,0.00262
-0.000011022,0.00065,0.00074
-0.000003006,0.00032,0.00435
0.000005010,0.34248,-0.00344
0.000013026,0.65530,0.00589
0.000021042,0.82533,0.01165
0.000029058,0.91500,0.03220
0.000037074,0.94795,0.02429
0.000045090,0.97766,0.04681
0.000053106,0.98710,0.06694
0.000061122,0.98740,0.08605
0.000069138,0.99492,0.09614
0.000077154,1.00396,0.11739
0.000085170,1.00719,0.13847
0.000093186,0.99092,0.17451
0.000101202,0.99554,0.19863
0.000109218,0.99005,0.22825
0.000117234,0.99981,0.26384
0.000125251,0.99215,0.29864
0.000133267,1.00799,0.31702
0.000141283,0.99868,0.36108
0.000149299,1.00161,0.40089
0.000157315,0.99493,0.42392
0.000165331,0.98965,0.45455
0.000173347,1.00510,0.49655
0.000181363,0.99919,0.53980
0.000189379,1.00201,0.57704
0.000197395,0.99804,0.60226
0.000205411,0.99256,0.65015
0.000213427,1.00078,0.69490
0.000221443,0.99749,0.72593
0.000229459,1.00699,0.76504
0.000237475,1.00018,0.79428
0.000245491,0.99578,0.82711
0.000253507,0.98274,0.87046
0.000261523,0.99682,0.89710
0.000269539,0.99542,0.93104
0.000277555,0.99395,0.96781
0.000285571,0.99729,0.99411
0.000293587,0.99524,1.02528
0.000301603,0.99860,1.05980
0.000309619,1.00237,1.09385
0.000317635,1.00293,1.11096
0.000325651,1.00317,1.13434
0.000333667,0.99418,1.15718
0.000341683,1.00032,1.18283
0.000349699,1.00415,1.21731
0.000357715,1.01417,1.23095
0.000365731,0.99755,1.25727
0.000373747,0.99401,1.28527
0.000381764,1.00372,1.28283
0.000389780,0.99479,1.30355
0.000397796,1.00977,1.32344
0.000405812,0.99001,1.33350
0.000413828,0.99331,1.33545
0.000421844,0.99785,1.35495
0.000429860,1.00250,1.36348
0.000437876,0.99749,1.38140
0.000445892,0.99576,1.38340
0.000453908,0.99592,1.38163
0.000461924,1.01237,1.39082
0.000469940,0.99895,1.39356
0.000477956,0.99993,1.38967
0.000485972,0.99780,1.38734
0.000493988,0.99448,1.39725
0.000502004,0.98926,1.39857
0.000510020,1.00869,1.38899
0.000518036,1.00885,1.38920
0.000526052,1.00455,1.37916
0.000534068,0.99939,1.37329
0.000542084,0.99983,1.36201
0.000550100,0.99675,1.35729
0.000558116,1.00049,1.35026
0.000566132,1.00847,1.34554
0.000574148,0.99844,1.33062
0.000582164,0.99118,1.31521
0.000590180,0.99287,1.30793
0.000598196,1.00095,1.28971
0.000606212,1.00573,1.29090
0.000614228,0.99824,1.26741
0.000622244,0.99186,1.25466
0.000630261,0.99242,1.24837
0.000638277,1.00524,1.23722
0.000646293,0.99304,1.21352
0.000654309,1.01195,1.20247
0.000662325,0.99961,1.18485
0.000670341,1.00483,1.16616
0.000678357,0.99510,1.15336
0.000686373,0.99983,1.14522
0.000694389,1.00396,1.13519
0.000702405,1.00806,1.10760
0.000710421,1.00197,1.10959
0.000718437,0.99165,1.08216
0.000726453,0.99559,1.06598
0.000734469,1.00190,1.05999
0.000742485,1.01080,1.05091
0.000750501,0.99945,1.02929
0.000758517,0.99525,1.02450
0.000766533,0.99479,0.99935
0.000774549,0.98688,0.98604
0.000782565,1.01100,0.97300
0.000790581,0.99837,0.96457
0.000798597,0.98950,0.96711
0.000806613,0.99962,0.95140
0.000814629,1.00814,0.94230
0.000822645,0.99661,0.92545
0.000830661,1.00188,0.92208
0.000838677,0.99373,0.91803
