# Residuo de la magnitud medida contra el modelo teorico nominal
# ATENCION: datos SINTETICOS. Derivado de medicion_bode.csv.
Frequency (Hz),Residual (dB)
20.000,0.0390
25.179,0.1446
31.698,0.0417
39.905,-0.0368
50.238,-0.0358
63.246,0.1157
79.621,-0.0841
100.237,0.0264
126.191,-0.0838
158.866,-0.0246
200.000,0.0197
251.785,0.0254
316.979,0.0338
399.052,-0.2215
502.377,-0.1775
632.456,-0.2217
796.214,-0.5001
1002.374,-1.1969
1261.915,-0.9044
1588.656,-0.3642
2000.000,-0.0557
2517.851,0.1766
3169.786,-0.0437
3990.525,-0.1550
5023.773,-0.0679
6324.555,0.1116
7962.143,-0.0219
10023.745,0.1235
12619.147,0.1364
15886.565,0.0669
20000.000,0.1038
25178.508,-0.0221
31697.864,0.0345
39905.246,0.1658
50237.729,0.1119
63245.553,0.1043
79621.434,0.1300
