x,y
20.0000000000,-0.1370000000
25.1790000000,0.4420000000
31.6980000000,-3.2690000000
39.9050000000,-1.2440000000
50.2380000000,-1.5910000000
63.2460000000,-0.4590000000
79.6210000000,-1.3590000000
100.2370000000,-2.6350000000
126.1910000000,-2.8030000000
158.8660000000,-5.4280000000
200.0000000000,-4.4690000000
251.7850000000,-9.0430000000
316.9790000000,-10.9050000000
399.0520000000,-14.3260000000
502.3770000000,-18.4590000000
632.4560000000,-26.6660000000
796.2140000000,-43.7110000000
1002.3740000000,-75.6930000000
1261.9150000000,-119.8880000000
1588.6560000000,-145.3310000000
2000.0000000000,-155.6950000000
2517.8510000000,-162.7970000000
3169.7860000000,-168.9500000000
3990.5250000000,-171.9050000000
5023.7730000000,-174.2520000000
6324.5550000000,-174.2700000000
7962.1430000000,-175.8060000000
10023.7450000000,-177.1650000000
12619.1470000000,-176.9600000000
15886.5650000000,-175.9910000000
20000.0000000000,-177.7930000000
25178.5080000000,-179.9690000000
31697.8640000000,-179.1320000000
39905.2460000000,-178.5840000000
50237.7290000000,-178.4860000000
63245.5530000000,-178.8720000000
79621.4340000000,-179.1810000000
