x,y
20.0000000000,0.0417000000
25.1790000000,0.1488000000
31.6980000000,0.0484000000
39.9050000000,-0.0262000000
50.2380000000,-0.0191000000
63.2460000000,0.1423000000
79.6210000000,-0.0419000000
100.2370000000,0.0933000000
126.1910000000,0.0224000000
158.8660000000,0.1442000000
200.0000000000,0.2882000000
251.7850000000,0.4537000000
316.9790000000,0.7193000000
399.0520000000,0.8818000000
502.3770000000,1.6128000000
632.4560000000,2.7102000000
796.2140000000,4.2642000000
1002.3740000000,5.2757000000
1261.9150000000,2.3004000000
1588.6560000000,-3.2558000000
2000.0000000000,-8.4778000000
2517.8510000000,-13.1728000000
3169.7860000000,-17.9529000000
3990.5250000000,-22.4065000000
5023.7730000000,-26.5310000000
6324.5550000000,-30.4832000000
7962.1430000000,-34.6992000000
10023.7450000000,-38.6054000000
12619.1470000000,-42.6250000000
15886.5650000000,-46.7151000000
20000.0000000000,-50.6910000000
25178.5080000000,-54.8250000000
31697.8640000000,-58.7736000000
39905.2460000000,-62.6455000000
50237.7290000000,-66.7014000000
63245.5530000000,-70.7103000000
79621.4340000000,-74.6854000000
