x,y
-0.0005000000,-0.0018800000
-0.0004919840,-0.0056100000
-0.0004839680,0.0093900000
-0.0004759520,0.0089400000
-0.0004679360,-0.0051700000
-0.0004599200,0.0060800000
-0.0004519040,-0.0092600000
-0.0004438880,-0.0070100000
-0.0004358720,0.0005300000
-0.0004278560,0.0007900000
-0.0004198400,-0.0049200000
-0.0004118240,-0.0046600000
-0.0004038080,0.0057100000
-0.0003957920,0.0030700000
-0.0003877760,-0.0026100000
-0.0003797600,0.0070000000
-0.0003717430,0.0133200000
-0.0003637270,-0.0011800000
-0.0003557110,0.0052900000
-0.0003476950,0.0099200000
-0.0003396790,0.0043400000
-0.0003316630,-0.0059200000
-0.0003236470,-0.0022500000
-0.0003156310,0.0059000000
-0.0003076150,0.0044700000
-0.0002995990,0.0000200000
-0.0002915830,0.0028400000
-0.0002835670,0.0043400000
-0.0002755510,0.0005600000
-0.0002675350,-0.0055900000
-0.0002595190,0.0065200000
-0.0002515030,0.0054000000
-0.0002434870,0.0055600000
-0.0002354710,-0.0059500000
-0.0002274550,-0.0080200000
-0.0002194390,-0.0136900000
-0.0002114230,-0.0072400000
-0.0002034070,-0.0007900000
-0.0001953910,0.0014000000
-0.0001873750,0.0054700000
-0.0001793590,0.0029100000
-0.0001713430,0.0013500000
-0.0001633270,-0.0032000000
-0.0001553110,-0.0001900000
-0.0001472950,0.0108400000
-0.0001392790,0.0149000000
-0.0001312630,-0.0087500000
-0.0001232460,-0.0077100000
-0.0001152300,-0.0006900000
-0.0001072140,-0.0074800000
-0.0000991980,0.0106800000
-0.0000911820,-0.0018600000
-0.0000831660,-0.0094600000
-0.0000751500,0.0005900000
-0.0000671340,0.0046400000
-0.0000591180,-0.0031800000
-0.0000511020,0.0001100000
-0.0000430860,0.0050300000
-0.0000350700,-0.0024700000
-0.0000270540,0.0067600000
-0.0000190380,0.0026200000
-0.0000110220,0.0007400000
-0.0000030060,0.0043500000
0.0000050100,-0.0034400000
0.0000130260,0.0058900000
0.0000210420,0.0116500000
0.0000290580,0.0322000000
0.0000370740,0.0242900000
0.0000450900,0.0468100000
0.0000531060,0.0669400000
0.0000611220,0.0860500000
