x,y
0.0000000000,0.0000000000
0.0000000100,0.0000000000
0.0000000108,0.0000000000
0.0000000125,0.0000000001
0.0000000159,0.0000000001
0.0000000226,0.0000000002
0.0000000360,0.0000000005
0.0000000629,0.0000000021
0.0000001167,0.0000000130
0.0000002102,0.0000000746
0.0000003142,0.0000002437
0.0000004804,0.0000008661
0.0000007137,0.0000028266
0.0000010000,0.0000077329
0.0000010366,0.0000086245
0.0000011098,0.0000105294
0.0000012562,0.0000150680
0.0000015490,0.0000270592
0.0000021346,0.0000626811
0.0000033059,0.0001803558
0.0000056483,0.0006003933
0.0000103333,0.0021707708
0.0000153333,0.0049049677
0.0000203333,0.0087094940
0.0000253333,0.0135605581
0.0000303333,0.0194336238
0.0000353333,0.0263034517
0.0000403333,0.0341441404
0.0000453333,0.0429291676
0.0000503333,0.0526314317
0.0000553333,0.0632232923
0.0000603333,0.0746766116
0.0000653333,0.0869627946
0.0000703333,0.1000528303
0.0000753333,0.1139173315
0.0000803333,0.1285265748
0.0000853333,0.1438505403
0.0000903333,0.1598589506
0.0000953333,0.1765213097
0.0001003333,0.1938069415
0.0001053333,0.2116850273
0.0001103333,0.2301246432
0.0001153333,0.2490947968
0.0001203333,0.2685644635
0.0001253333,0.2885026219
0.0001303333,0.3088782885
0.0001353333,0.3296605523
0.0001403333,0.3508186078
0.0001453333,0.3723217879
0.0001503333,0.3941395963
0.0001553333,0.4162417381
0.0001603333,0.4385981506
0.0001653333,0.4611790329
0.0001703333,0.4839548744
0.0001753333,0.5068964833
0.0001803333,0.5299750129
0.0001853333,0.5531619883
0.0001903333,0.5764293317
0.0001953333,0.5997493863
0.0002003333,0.6230949403
0.0002053333,0.6464392492
0.0002103333,0.6697560571
0.0002153333,0.6930196180
0.0002203333,0.7162047149
0.0002253333,0.7392866788
0.0002303333,0.7622414064
0.0002353333,0.7850453770
0.0002403333,0.8076756683
0.0002453333,0.8301099715
0.0002503333,0.8523266047
0.0002553333,0.8743045265
0.0002603333,0.8960233476
0.0002653333,0.9174633422
0.0002703333,0.9386054576
0.0002753333,0.9594313239
0.0002803333,0.9799232621
0.0002853333,1.0000642911
0.0002903333,1.0198381346
0.0002953333,1.0392292261
0.0003003333,1.0582227137
0.0003053333,1.0768044640
0.0003103333,1.0949610644
0.0003153333,1.1126798255
0.0003203333,1.1299487822
0.0003253333,1.1467566936
0.0003303333,1.1630930428
0.0003353333,1.1789480354
0.0003403333,1.1943125974
0.0003453333,1.2091783722
0.0003503333,1.2235377171
0.0003553333,1.2373836987
0.0003603333,1.2507100879
0.0003653333,1.2635113540
0.0003703333,1.2757826583
0.0003753333,1.2875198469
0.0003803333,1.2987194426
0.0003853333,1.3093786371
0.0003903333,1.3194952814
0.0003953333,1.3290678764
0.0004003333,1.3380955628
0.0004053333,1.3465781105
0.0004103333,1.3545159070
0.0004153333,1.3619099461
0.0004203333,1.3687618155
0.0004253333,1.3750736845
0.0004303333,1.3808482904
0.0004353333,1.3860889257
0.0004403333,1.3907994237
0.0004453333,1.3949841448
0.0004503333,1.3986479618
0.0004553333,1.4017962448
0.0004603333,1.4044348466
0.0004653333,1.4065700871
0.0004703333,1.4082087373
0.0004753333,1.4093580042
0.0004803333,1.4100255141
0.0004853333,1.4102192965
0.0004903333,1.4099477681
0.0004953333,1.4092197159
0.0005003333,1.4080442804
0.0005053333,1.4064309393
0.0005103333,1.4043894906
0.0005153333,1.4019300355
0.0005203333,1.3990629616
0.0005253333,1.3957989260
0.0005303333,1.3921488385
0.0005353333,1.3881238446
0.0005403333,1.3837353086
0.0005453333,1.3789947970
0.0005503333,1.3739140616
0.0005553333,1.3685050230
0.0005603333,1.3627797542
0.0005653333,1.3567504641
0.0005703333,1.3504294810
0.0005753333,1.3438292372
0.0005803333,1.3369622527
0.0005853333,1.3298411194
0.0005903333,1.3224784859
0.0005953333,1.3148870421
0.0006003333,1.3070795042
0.0006053333,1.2990685997
0.0006103333,1.2908670532
0.0006153333,1.2824875720
0.0006203333,1.2739428320
0.0006253333,1.2652454640
0.0006303333,1.2564080407
0.0006353333,1.2474430628
0.0006403333,1.2383629473
0.0006453333,1.2291800140
0.0006503333,1.2199064742
0.0006553333,1.2105544184
0.0006603333,1.2011358054
0.0006653333,1.1916624505
0.0006703333,1.1821460157
