x,y
0.0000000000,0.0000000000
0.0000000100,0.0000006666
0.0000000108,0.0000007273
0.0000000125,0.0000008581
0.0000000159,0.0000011762
0.0000000226,0.0000020382
0.0000000360,0.0000046651
0.0000000629,0.0000135310
0.0000001167,0.0000457074
0.0000002242,0.0001678128
0.0000004393,0.0006428272
0.0000007196,0.0017236759
0.0000010000,0.0033260677
0.0000010561,0.0036985124
0.0000011682,0.0044431234
0.0000013925,0.0059306765
0.0000018411,0.0088991196
0.0000027383,0.0148094528
0.0000045327,0.0265246965
0.0000081214,0.0495397240
0.0000131214,0.0807023560
0.0000181214,0.1108432623
0.0000231214,0.1399959423
0.0000281214,0.1681927966
0.0000331214,0.1954651639
0.0000381214,0.2218433553
0.0000431214,0.2473566879
0.0000481214,0.2720335178
0.0000531214,0.2959012713
0.0000581214,0.3189864755
0.0000631214,0.3413147878
0.0000681214,0.3629110243
0.0000731214,0.3837991874
0.0000781214,0.4040024927
0.0000831214,0.4235433946
0.0000881214,0.4424436112
0.0000931214,0.4607241485
0.0000981214,0.4784053240
0.0001031214,0.4955067888
0.0001081214,0.5120475498
0.0001131214,0.5280459908
0.0001181214,0.5435198927
0.0001231214,0.5584864536
0.0001281214,0.5729623076
0.0001331214,0.5869635434
0.0001381214,0.6005057223
0.0001431214,0.6136038954
0.0001481214,0.6262726201
0.0001531214,0.6385259768
0.0001581214,0.6503775842
0.0001631214,0.6618406142
0.0001681214,0.6729278072
0.0001731214,0.6836514856
0.0001781214,0.6940235680
0.0001831214,0.7040555822
0.0001881214,0.7137586779
0.0001931214,0.7231436393
0.0001981214,0.7322208970
0.0002031214,0.7410005397
0.0002081214,0.7494923253
0.0002131214,0.7577056917
0.0002181214,0.7656497674
0.0002231214,0.7733333815
0.0002281214,0.7807650740
0.0002331214,0.7879531043
0.0002381214,0.7949054615
0.0002431214,0.8016298726
0.0002481214,0.8081338112
0.0002531214,0.8144245060
0.0002581214,0.8205089484
0.0002631214,0.8263939009
0.0002681214,0.8320859042
0.0002731214,0.8375912843
0.0002781214,0.8429161603
0.0002831214,0.8480664501
0.0002881214,0.8530478780
0.0002931214,0.8578659803
0.0002981214,0.8625261121
0.0003031214,0.8670334527
0.0003081214,0.8713930116
0.0003131214,0.8756096342
0.0003181214,0.8796880068
0.0003231214,0.8836326624
0.0003281214,0.8874479849
0.0003331214,0.8911382149
0.0003381214,0.8947074538
0.0003431214,0.8981596684
0.0003481214,0.9014986957
0.0003531214,0.9047282466
0.0003581214,0.9078519107
0.0003631214,0.9108731595
0.0003681214,0.9137953510
0.0003731214,0.9166217329
0.0003781214,0.9193554466
0.0003831214,0.9219995303
0.0003881214,0.9245569228
0.0003931214,0.9270304663
0.0003981214,0.9294229100
0.0004031214,0.9317369130
0.0004081214,0.9339750470
0.0004131214,0.9361397995
0.0004181214,0.9382335766
0.0004231214,0.9402587052
0.0004281214,0.9422174362
0.0004331214,0.9441119465
0.0004381214,0.9459443417
0.0004431214,0.9477166583
0.0004481214,0.9494308663
0.0004531214,0.9510888707
0.0004581214,0.9526925142
0.0004631214,0.9542435794
0.0004681214,0.9557437899
0.0004731214,0.9571948131
0.0004781214,0.9585982619
0.0004831214,0.9599556959
0.0004881214,0.9612686239
0.0004931214,0.9625385051
0.0004981214,0.9637667508
0.0005031214,0.9649547262
0.0005081214,0.9661037516
0.0005131214,0.9672151040
0.0005181214,0.9682900186
0.0005231214,0.9693296902
0.0005281214,0.9703352741
0.0005331214,0.9713078880
0.0005381214,0.9722486130
0.0005431214,0.9731584946
0.0005481214,0.9740385439
0.0005531214,0.9748897392
0.0005581214,0.9757130265
0.0005631214,0.9765093207
0.0005681214,0.9772795069
0.0005731214,0.9780244411
0.0005781214,0.9787449512
0.0005831214,0.9794418380
0.0005881214,0.9801158761
0.0005931214,0.9807678146
0.0005981214,0.9813983781
0.0006031214,0.9820082673
0.0006081214,0.9825981602
0.0006131214,0.9831687123
0.0006181214,0.9837205578
0.0006231214,0.9842543100
0.0006281214,0.9847705622
0.0006331214,0.9852698880
0.0006381214,0.9857528425
0.0006431214,0.9862199624
0.0006481214,0.9866717669
0.0006531214,0.9871087582
0.0006581214,0.9875314218
0.0006631214,0.9879402277
0.0006681214,0.9883356300
0.0006731214,0.9887180684
0.0006781214,0.9890879678
0.0006831214,0.9894457393
0.0006881214,0.9897917807
0.0006931214,0.9901264764
0.0006981214,0.9904501985
0.0007031214,0.9907633067
0.0007081214,0.9910661491
0.0007131214,0.9913590623
0.0007181214,0.9916423717
0.0007231214,0.9919163923
0.0007281214,0.9921814286
0.0007331214,0.9924377752
0.0007381214,0.9926857170
0.0007431214,0.9929255296
0.0007481214,0.9931574794
0.0007531214,0.9933818244
0.0007581214,0.9935988137
0.0007631214,0.9938086887
0.0007681214,0.9940116825
0.0007731214,0.9942080208
0.0007781214,0.9943979217
0.0007831214,0.9945815964
0.0007881214,0.9947592490
0.0007931214,0.9949310769
0.0007981214,0.9950972711
0.0008031214,0.9952580163
0.0008081214,0.9954134912
0.0008131214,0.9955638685
0.0008181214,0.9957093155
0.0008231214,0.9958499937
