x,y
100.0000000000,-0.0751137555
101.5521127635,-0.0774531051
103.1283160672,-0.0798649772
104.7289838236,-0.0823515990
106.3544957486,-0.0849152647
108.0052374516,-0.0875583377
109.6816005273,-0.0902832523
111.3839826483,-0.0930925157
113.1127876594,-0.0959887104
114.8684256738,-0.0989744960
116.6513131698,-0.1020526119
118.4618730903,-0.1052258787
120.3005349423,-0.1084972016
122.1677348997,-0.1118695718
124.0639159059,-0.1153460695
125.9895277795,-0.1189298662
127.9450273208,-0.1226242273
129.9308784200,-0.1264325146
131.9475521677,-0.1303581890
133.9955269659,-0.1344048134
136.0752886424,-0.1385760552
138.1873305654,-0.1428756896
140.3321537605,-0.1473076020
142.5102670303,-0.1518757913
144.7221870741,-0.1565843728
146.9684386112,-0.1614375817
149.2495545052,-0.1664397755
151.5660758901,-0.1715954383
153.9185522990,-0.1769091830
156.3075417946,-0.1823857557
158.7336111010,-0.1880300385
161.1973357388,-0.1938470531
163.6993001612,-0.1998419647
166.2400978927,-0.2060200853
168.8203316700,-0.2123868777
171.4406135852,-0.2189479589
174.1015652304,-0.2257091045
176.8038178457,-0.2326762520
179.5480124688,-0.2398555052
182.3348000868,-0.2472531380
185.1648417912,-0.2548755988
188.0388089341,-0.2627295141
190.9573832878,-0.2708216932
193.9212572066,-0.2791591322
196.9311337907,-0.2877490184
199.9877270535,-0.2965987347
203.0917620905,-0.3057158638
206.2439752514,-0.3151081927
209.4451143151,-0.3247837172
212.6959386669,-0.3347506467
215.9972194783,-0.3450174080
219.3497398905,-0.3555926507
222.7542952000,-0.3664852510
226.2116930469,-0.3777043170
229.7227536071,-0.3892591928
233.2883097864,-0.4011594630
236.9092074183,-0.4134149580
240.5863054644,-0.4260357576
244.3204762186,-0.4390321964
248.1126055138,-0.4524148677
251.9635929317,-0.4661946284
255.8743520169,-0.4803826030
259.8458104929,-0.4949901886
263.8789104829,-0.5100290585
267.9746087326,-0.5255111667
272.1338768375,-0.5414487524
276.3577014736,-0.5578543431
280.6470846310,-0.5747407596
285.0030438518,-0.5921211189
289.4266124717,-0.6100088381
293.9188398647,-0.6284176380
298.4807916924,-0.6473615463
303.1135501568,-0.6668549004
307.8182142565,-0.6869123507
312.5959000482,-0.7075488627
317.4477409109,-0.7287797200
322.3748878149,-0.7506205259
327.3785095949,-0.7730872055
332.4597932271,-0.7961960071
337.6199441111,-0.8199635035
342.8601863557,-0.8444065926
348.1817630689,-0.8695424980
353.5859366535,-0.8953887691
359.0739891061,-0.9219632809
364.6472223213,-0.9492842327
370.3069584005,-0.9773701472
376.0545399658,-1.0062398687
381.8913304782,-1.0359125607
387.8187145611,-1.0664077032
393.8380983288,-1.0977450893
399.9509097204,-1.1299448210
406.1585988377,-1.1630273050
412.4626382901,-1.1970132470
418.8645235435,-1.2319236462
425.3657732750,-1.2677797884
431.9679297334,-1.3046032389
438.6725591049,-1.3424158344
445.4812518845,-1.3812396741
452.3956232538,-1.4210971104
459.4173134636,-1.4620107382
466.5479882234,-1.5040033840
473.7893390963,-1.5470980936
481.1430839003,-1.5913181195
488.6109671160,-1.6366869071
496.1947603003,-1.6832280802
503.8962625065,-1.7309654253
511.7173007115,-1.7799228755
519.6597302486,-1.8301244930
527.7254352484,-1.8815944513
535.9163290849,-1.9343570160
544.2343548300,-1.9884365248
552.6814857145,-2.0438573670
561.2597255955,-2.1006439614
569.9711094326,-2.1588207345
578.8177037701,-2.2184120965
587.8016072275,-2.2794424176
596.9249509971,-2.3419360026
606.1898993498,-2.4059170662
615.5986501484,-2.4714097053
625.1534353690,-2.5384378733
634.8565216305,-2.6070253513
644.7102107324,-2.6771957204
654.7168402005,-2.7489723330
664.8787838417,-2.8223782831
675.1984523073,-2.8974363769
685.6782936642,-2.9741691026
696.3207939764,-3.0525986002
707.1284778943,-3.1327466310
718.1039092537,-3.2146345465
729.2496916841,-3.2982832583
740.5684692262,-3.3837132068
752.0629269592,-3.4709443311
763.7357916378,-3.5599960380
775.5898323389,-3.6508871725
787.6278611187,-3.7436359877
799.8527336797,-3.8382601153
812.2673500480,-3.9347765376
824.8746552615,-4.0332015585
837.6776400683,-4.1335507770
850.6793416364,-4.2358390601
863.8828442740,-4.3400805177
877.2912801613,-4.4462884777
890.9078300934,-4.5544754627
904.7357242349,-4.6646531680
918.7782428863,-4.7768324403
933.0387172620,-4.8910232581
947.5205302807,-5.0072347137
962.2271173675,-5.1254749965
977.1619672696,-5.2457513779
992.3286228833,-5.3680701973
1007.7306820945,-5.4924368511
1023.3717986325,-5.6188557818
1039.2556829367,-5.7473304702
1055.3861030365,-5.8778634284
1071.7668854455,-6.0104561953
1088.4019160690,-6.1451093338
1105.2951411260,-6.2818224293
1122.4505680853,-6.4205940908
1139.8722666161,-6.5614219537
1157.5643695533,-6.7043026838
1175.5310738784,-6.8492319838
1193.7766417144,-6.9962046018
1212.3054013377,-7.1452143405
