x,y
100.0000000000,0.0741608080
105.9253725177,0.0832513815
112.2018454302,0.0934620110
118.8502227437,0.1049321994
125.8925411794,0.1178192182
133.3521432163,0.1323004736
141.2537544623,0.1485762154
149.6235656094,0.1668726442
158.4893192461,0.1874454860
167.8804018123,0.2105841135
177.8279410039,0.2366163148
188.3649089490,0.2659138273
199.5262314969,0.2988987862
211.3489039837,0.3360512653
223.8721138568,0.3779181386
237.1373705662,0.4251235408
251.1886431510,0.4783812835
266.0725059799,0.5385096755
281.8382931264,0.6064493271
298.5382618918,0.6832846824
316.2277660168,0.7702702570
334.9654391578,0.8688628671
354.8133892336,0.9807615660
375.8374042884,1.1079576038
398.1071705535,1.2527975737
421.6965034286,1.4180641221
446.6835921510,1.6070803679
473.1512589615,1.8238467822
501.1872336273,2.0732231902
530.8844442310,2.3611744999
562.3413251903,2.6951079328
595.6621435290,3.0843437923
630.9573444802,3.5407839947
668.3439175686,4.0798762657
707.9457843841,4.7220185325
749.8942093325,5.4945915831
794.3282347243,6.4347427622
841.3951416452,7.5923336829
891.2509381337,9.0284672313
944.0608762859,10.7844967525
1000.0000000000,12.7023561382
1059.2537251773,13.8217517888
1122.0184543020,12.6332110775
1188.5022274370,9.8779848012
1258.9254117942,7.0019030244
1333.5214321633,4.4229102722
1412.5375446228,2.1481328253
1496.2356560944,0.1174083572
1584.8931924611,-1.7250623362
1678.8040181226,-3.4218320658
1778.2794100389,-5.0042787393
1883.6490894898,-6.4956375799
1995.2623149689,-7.9133708932
2113.4890398366,-9.2708300085
2238.7211385683,-10.5783960006
2371.3737056617,-11.8442662641
2511.8864315096,-13.0750043711
2660.7250597988,-14.2759309179
2818.3829312645,-15.4514061697
2985.3826189180,-16.6050378992
3162.2776601684,-17.7398366502
3349.6543915783,-18.8583334427
3548.1338923358,-19.9626702295
3758.3740428844,-21.0546702917
3981.0717055350,-22.1358936616
4216.9650342858,-23.2076812267
4466.8359215096,-24.2711901740
4731.5125896148,-25.3274227336
5011.8723362727,-26.3772496863
5308.8444423099,-27.4214297357
5623.4132519035,-28.4606255873
5956.6214352901,-29.4954173808
6309.5734448019,-30.5263139791
6683.4391756862,-31.5537625089
7079.4578438414,-32.5781564630
7498.9420933246,-33.5998426145
7943.2823472428,-34.6191269408
8413.9514164520,-35.6362797191
8912.5093813375,-36.6515399256
9440.6087628592,-37.6651190438
10000.0000000000,-38.6772043726
