x,y
100.0000000000,-1.1023997459
105.9253725177,-1.1689527750
112.2018454302,-1.2396847372
118.8502227437,-1.3148887201
125.8925411794,-1.3948841210
133.3521432163,-1.4800200200
141.2537544623,-1.5706791387
149.6235656094,-1.6672825095
158.4893192461,-1.7702950078
167.8804018123,-1.8802319383
177.8279410039,-1.9976669171
188.3649089490,-2.1232413523
199.5262314969,-2.2576759091
211.3489039837,-2.4017844546
223.8721138568,-2.5564911203
237.1373705662,-2.7228513130
251.1886431510,-2.9020777632
266.0725059799,-3.0955730563
281.8382931264,-3.3049705806
298.5382618918,-3.5321865065
316.2277660168,-3.7794863838
334.9654391578,-4.0495713272
354.8133892336,-4.3456907848
375.8374042884,-4.6717918766
398.1071705535,-5.0327198059
421.6965034286,-5.4344907786
446.6835921510,-5.8846697540
473.1512589615,-6.3929028425
501.1872336273,-6.9716830021
530.8844442310,-7.6374766177
562.3413251903,-8.4124242483
595.6621435290,-9.3269844039
630.9573444802,-10.4241831783
668.3439175686,-11.7667136100
707.9457843841,-13.4493365482
749.8942093325,-15.6216896610
794.3282347243,-18.5327994872
841.3951416452,-22.6238049150
891.2509381337,-28.7333631428
944.0608762859,-38.5585033157
1000.0000000000,-55.4244234454
1059.2537251773,-82.8076693325
1122.0184543020,-113.5774087158
1188.5022274370,-135.0137339544
1258.9254117942,-147.4697030856
1333.5214321633,-154.9581954494
1412.5375446228,-159.8148491245
1496.2356560944,-163.1838029812
1584.8931924611,-165.6483408694
1678.8040181226,-167.5276578137
1778.2794100389,-169.0084886519
1883.6490894898,-170.2064704593
1995.2623149689,-171.1966934823
2113.4890398366,-172.0298906627
2238.7211385683,-172.7415020898
2371.3737056617,-173.3569977496
2511.8864315096,-173.8951343449
2660.7250597988,-174.3700203471
2818.3829312645,-174.7924666924
2985.3826189180,-175.1708946277
3162.2776601684,-175.5119607422
3349.6543915783,-175.8209965618
3548.1338923358,-176.1023236571
3758.3740428844,-176.3594834027
3981.0717055350,-176.5954070940
4216.9650342858,-176.8125436630
4466.8359215096,-177.0129567752
4731.5125896148,-177.1983994983
5011.8723362727,-177.3703723262
5308.8444423099,-177.5301687031
5623.4132519035,-177.6789110567
5956.6214352901,-177.8175795512
6309.5734448019,-177.9470352054
6683.4391756862,-178.0680386102
7079.4578438414,-178.1812651834
7498.9420933246,-178.2873176784
7943.2823472428,-178.3867365021
8413.9514164520,-178.4800082717
8912.5093813375,-178.5675729498
9440.6087628592,-178.6498298231
10000.0000000000,-178.7271425380
