x,y
20.0000000000,0.0390000000
25.1790000000,0.1446000000
31.6980000000,0.0417000000
39.9050000000,-0.0368000000
50.2380000000,-0.0358000000
63.2460000000,0.1157000000
79.6210000000,-0.0841000000
100.2370000000,0.0264000000
126.1910000000,-0.0838000000
158.8660000000,-0.0246000000
200.0000000000,0.0197000000
251.7850000000,0.0254000000
316.9790000000,0.0338000000
399.0520000000,-0.2215000000
502.3770000000,-0.1775000000
632.4560000000,-0.2217000000
796.2140000000,-0.5001000000
1002.3740000000,-1.1969000000
1261.9150000000,-0.9044000000
1588.6560000000,-0.3642000000
2000.0000000000,-0.0557000000
2517.8510000000,0.1766000000
3169.7860000000,-0.0437000000
3990.5250000000,-0.1550000000
5023.7730000000,-0.0679000000
6324.5550000000,0.1116000000
7962.1430000000,-0.0219000000
10023.7450000000,0.1235000000
12619.1470000000,0.1364000000
15886.5650000000,0.0669000000
20000.0000000000,0.1038000000
25178.5080000000,-0.0221000000
31697.8640000000,0.0345000000
39905.2460000000,0.1658000000
50237.7290000000,0.1119000000
63245.5530000000,0.1043000000
79621.4340000000,0.1300000000
