x,y
20.0000000000,0.0025682845
21.6101109040,0.0029984985
23.3498446640,0.0035007865
25.2296366390,0.0040872264
27.2607622910,0.0047719212
29.4554048220,0.0055713398
31.8267282460,0.0065047120
34.3889563550,0.0075944960
37.1574580350,0.0088669161
40.1488394520,0.0103526032
43.3810436610,0.0120873302
46.8734582320,0.0141128815
50.6470315420,0.0164780662
54.7243984280,0.0192399034
59.1300159590,0.0224650127
63.8903101310,0.0262312369
69.0338343810,0.0306295482
74.5914408540,0.0357662772
80.5964654670,0.0417657337
87.0849278600,0.0487732729
94.0957474560,0.0569589098
101.6709769000,0.0665215573
109.8560543300,0.0776940199
118.7000758800,0.0907488782
128.2560902000,0.1060054328
138.5814166700,0.1238379155
149.7379891700,0.1446852066
161.7927276200,0.1690623728
174.8179393700,0.1975743795
188.8917528900,0.2309324366
204.0985864300,0.2699735388
220.5296544100,0.3156838590
238.2835144700,0.3692268536
257.4666587100,0.4319770891
278.1941524400,0.5055610159
300.5903243500,0.5919061522
324.7895122900,0.6933003063
350.9368690500,0.8124625112
379.1892330200,0.9526269891
409.7160689600,1.1176401386
442.7004844600,1.3120670933
478.3403283200,1.5412960962
516.8493772400,1.8116099840
558.4586181300,2.1301511633
603.4176336500,2.5046097656
651.9960992300,2.9422465377
704.4854006600,3.4473757147
761.2003819200,4.0154003161
822.4812336700,4.6196337601
888.6955338000,5.1856236305
960.2404522500,5.5554636580
1037.5451334000,5.4854105941
1121.0732700000,4.7677637082
1211.3258848000,3.4201001632
1308.8443356000,1.6667835928
1414.2135624000,-0.2562022022
1528.0655962000,-2.2036304858
1651.0833501000,-4.1093156963
1784.0047154000,-5.9506259922
1927.6269876000,-7.7246825719
2082.8116492000,-9.4364255284
2250.4895366000,-11.0932694622
2431.6664237000,-12.7028680154
2627.4290548000,-14.2722597663
2838.9516633000,-15.8076084419
3067.5030148000,-17.3141887355
3314.4540173000,-18.7964650303
3581.2859450000,-20.2581972497
3869.5993225000,-21.7025465719
4181.1235256000,-23.1321707989
4517.7271546000,-24.5493065618
4881.4292422000,-25.9558386261
5274.4113647000,-27.3533576962
5699.0307271000,-28.7432084019
6157.8343029000,-30.1265290827
6653.5741107000,-31.5042847938
7189.2237219000,-32.8772947365
7767.9960972000,-34.2462551058
8393.3628580000,-35.6117581692
9069.0751109000,-36.9743082385
9799.1859471000,-38.3343350741
10588.0747540000,-39.6922051615
11440.4734850000,-41.0482312166
12361.4950400000,-42.4026802165
13356.6639380000,-43.7557801918
14431.9494500000,-45.1077259858
15593.8014080000,-46.4586841417
16849.1888920000,-47.8087970541
18205.6420300000,-49.1581865016
19671.2971670000,-50.5069566550
21254.9456710000,-51.8551966389
22966.0866600000,-53.2029827178
24814.9839870000,-54.5503801599
26812.7278020000,-55.8974448309
28971.3010720000,-57.2442245526
31303.6514600000,-58.5907602626
33823.7689870000,-59.9370870131
36546.7699500000,-61.2832348121
39488.9875890000,-62.6292293571
42668.0700640000,-63.9750926515
46103.0863070000,-65.3208435373
49814.6404060000,-66.6664981505
53824.9951900000,-68.0120703093
58158.2057730000,-69.3575718477
62840.2638360000,-70.7030129012
67899.2535360000,-72.0484021496
73365.5199600000,-73.3937470271
79271.8511430000,-74.7390539003
85653.6747370000,-76.0843282233
92549.2705200000,-77.4295746657
100000.0000000000,-78.7747972289
