x,y
20.0000000000,-0.5830944488
21.6101109040,-0.6300698148
23.3498446640,-0.6808355992
25.2296366390,-0.7356992130
27.2607622910,-0.7949934079
29.4554048220,-0.8590784714
31.8267282460,-0.9283446400
34.3889563550,-1.0032147576
37.1574580350,-1.0841472141
40.1488394520,-1.1716392019
43.3810436610,-1.2662303399
46.8734582320,-1.3685067212
50.6470315420,-1.4791054538
54.7243984280,-1.5987197794
59.1300159590,-1.7281048732
63.8903101310,-1.8680844535
69.0338343810,-2.0195583563
74.5914408540,-2.1835112749
80.5964654670,-2.3610229061
87.0849278600,-2.5532798163
94.0957474560,-2.7615894111
101.6709769000,-2.9873965089
109.8560543300,-3.2323031455
118.7000758800,-3.4980924205
128.2560902000,-3.7867574288
138.5814166700,-4.1005366296
149.7379891700,-4.4419574277
161.7927276200,-4.8138902864
174.8179393700,-5.2196164648
188.8917528900,-5.6629134993
204.0985864300,-6.1481639842
220.5296544100,-6.6804952431
238.2835144700,-7.2659602970
257.4666587100,-7.9117746648
278.1941524400,-8.6266294625
300.5903243500,-9.4211100462
324.7895122900,-10.3082625799
350.9368690500,-11.3043708412
379.1892330200,-12.4300363100
409.7160689600,-13.7117026469
442.7004844600,-15.1838417454
478.3403283200,-16.8921401183
516.8493772400,-18.8982187159
558.4586181300,-21.2867250869
603.4176336500,-24.1760912925
651.9960992300,-27.7348161652
704.4854006600,-32.2053812555
761.2003819200,-37.9359005030
822.4812336700,-45.4083189205
888.6955338000,-55.2118603055
960.2404522500,-67.8172258928
1037.5451334000,-82.9755295830
1121.0732700000,-99.1219191285
1211.3258848000,-114.0040854409
1308.8443356000,-126.2314603016
1414.2135624000,-135.6946540877
1528.0655962000,-142.9056111121
1651.0833501000,-148.4458989714
1784.0047154000,-152.7792559397
1927.6269876000,-156.2379652933
2082.8116492000,-159.0531046866
2250.4895366000,-161.3854039310
2431.6664237000,-163.3480617764
2627.4290548000,-165.0221774835
2838.9516633000,-166.4669326762
3067.5030148000,-167.7263089485
3314.4540173000,-168.8335660222
3581.2859450000,-169.8142712102
3869.5993225000,-170.6883823109
4181.1235256000,-171.4717032208
4517.7271546000,-172.1769173373
4881.4292422000,-172.8143321891
5274.4113647000,-173.3924235070
5699.0307271000,-173.9182379006
6157.8343029000,-174.3976944737
6653.5741107000,-174.8358132633
7189.2237219000,-175.2368900518
7767.9960972000,-175.6046314471
8393.3628580000,-175.9422602190
9069.0751109000,-176.2525981654
9799.1859471000,-176.5381318447
10588.0747540000,-176.8010651489
11440.4734850000,-177.0433616829
12361.4950400000,-177.2667791979
13356.6639380000,-177.4728977829
14431.9494500000,-177.6631431267
15593.8014080000,-177.8388058543
16849.1888920000,-178.0010577254
18205.6420300000,-178.1509653031
19671.2971670000,-178.2895015716
21254.9456710000,-178.4175558822
22966.0866600000,-178.5359425267
24814.9839870000,-178.6454081749
26812.7278020000,-178.7466383689
28971.3010720000,-178.8402632270
31303.6514600000,-178.9268624810
33823.7689870000,-179.0069699475
36546.7699500000,-179.0810775161
39488.9875890000,-179.1496387220
42668.0700640000,-179.2130719585
46103.0863070000,-179.2717633763
49814.6404060000,-179.3260695077
53824.9951900000,-179.3763196501
58158.2057730000,-179.4228180342
62840.2638360000,-179.4658458019
67899.2535360000,-179.5056628144
73365.5199600000,-179.5425093068
79271.8511430000,-179.5766074054
85653.6747370000,-179.6081625204
92549.2705200000,-179.6373646256
100000.0000000000,-179.6643894363
