x,y
20.0000000000,-0.0015427992
21.6101109040,-0.0018011525
23.3498446640,-0.0021027586
25.2296366390,-0.0024548548
27.2607622910,-0.0028658883
29.4554048220,-0.0033457175
31.8267282460,-0.0039058472
34.3889563550,-0.0045597030
37.1574580350,-0.0053229499
40.1488394520,-0.0062138652
43.3810436610,-0.0072537707
46.8734582320,-0.0084675372
50.6470315420,-0.0098841711
54.7243984280,-0.0115374958
59.1300159590,-0.0134669435
63.8903101310,-0.0157184746
69.0338343810,-0.0183456437
74.5914408540,-0.0214108336
80.5964654670,-0.0249866841
87.0849278600,-0.0291577398
94.0957474560,-0.0340223518
101.6709769000,-0.0396948627
109.8560543300,-0.0463081142
118.7000758800,-0.0540163139
128.2560902000,-0.0629983009
138.5814166700,-0.0734612509
149.7379891700,-0.0856448552
161.7927276200,-0.0998260067
174.8179393700,-0.1163240132
188.8917528900,-0.1355063434
204.0985864300,-0.1577948872
220.5296544100,-0.1836726788
238.2835144700,-0.2136909851
257.4666587100,-0.2484766007
278.1941524400,-0.2887391150
300.5903243500,-0.3352778215
324.7895122900,-0.3889878254
350.9368690500,-0.4508647798
379.1892330200,-0.5220075482
409.7160689600,-0.6036179598
442.7004844600,-0.6969967265
478.3403283200,-0.8035345403
516.8493772400,-0.9246974103
558.4586181300,-1.0620054611
603.4176336500,-1.2170047389
651.9960992300,-1.3912320649
704.4854006600,-1.5861736483
761.2003819200,-1.8032189595
822.4812336700,-2.0436121906
888.6955338000,-2.3084043614
960.2404522500,-2.5984096045
1037.5451334000,-2.9141692591
1121.0732700000,-3.2559270073
1211.3258848000,-3.6236174251
1308.8443356000,-4.0168690720
1414.2135624000,-4.4350218140
1528.0655962000,-4.8771566933
1651.0833501000,-5.3421355578
1784.0047154000,-5.8286469851
1927.6269876000,-6.3352548604
2082.8116492000,-6.8604462321
2250.4895366000,-7.4026756769
2431.6664237000,-7.9604041900
2627.4290548000,-8.5321314430
2838.9516633000,-9.1164210017
3067.5030148000,-9.7119186907
3314.4540173000,-10.3173647208
3581.2859450000,-10.9316004377
3869.5993225000,-11.5535706690
4181.1235256000,-12.1823226324
4517.7271546000,-12.8170023061
4881.4292422000,-13.4568490345
5274.4113647000,-14.1011890219
5699.0307271000,-14.7494282232
6157.8343029000,-15.4010450342
6653.5741107000,-16.0555830550
7189.2237219000,-16.7126441452
7767.9960972000,-17.3718818831
8393.3628580000,-18.0329955220
9069.0751109000,-18.6957244633
9799.1859471000,-19.3598432731
10588.0747540000,-20.0251572082
11440.4734850000,-20.6914982441
12361.4950400000,-21.3587215594
13356.6639380000,-22.0267024430
14431.9494500000,-22.6953335833
15593.8014080000,-23.3645227019
16849.1888920000,-24.0341904918
18205.6420300000,-24.7042688273
19671.2971670000,-25.3746992113
21254.9456710000,-26.0454314325
22966.0866600000,-26.7164224053
24814.9839870000,-27.3876351671
26812.7278020000,-28.0590380164
28971.3010720000,-28.7306037684
31303.6514600000,-29.4023091154
33823.7689870000,-30.0741340772
36546.7699500000,-30.7460615270
39488.9875890000,-31.4180767866
42668.0700640000,-32.0901672770
46103.0863070000,-32.7623222187
49814.6404060000,-33.4345323747
53824.9951900000,-34.1067898319
58158.2057730000,-34.7790878088
62840.2638360000,-35.4514204968
67899.2535360000,-36.1237829180
73365.5199600000,-36.7961708101
79271.8511430000,-37.4685805203
85653.6747370000,-38.1410089188
92549.2705200000,-38.8134533259
100000.0000000000,-39.4859114453
