x,y
20.0000000000,-1.0798721172
21.6101109040,-1.1667846727
23.3498446640,-1.2606881230
25.2296366390,-1.3621436935
27.2607622910,-1.4717573787
29.4554048220,-1.5901834385
31.8267282460,-1.7181281484
34.3889563550,-1.8563538156
37.1574580350,-2.0056830747
40.1488394520,-2.1670034725
43.3810436610,-2.3412723521
46.8734582320,-2.5295220410
50.6470315420,-2.7328653459
54.7243984280,-2.9525013489
59.1300159590,-3.1897214956
63.8903101310,-3.4459159518
69.0338343810,-3.7225801949
74.5914408540,-4.0213217900
80.5964654670,-4.3438672769
87.0849278600,-4.6920690704
94.0957474560,-5.0679122398
101.6709769000,-5.4735209928
109.8560543300,-5.9111646374
118.7000758800,-6.3832627286
128.2560902000,-6.8923890337
138.5814166700,-7.4412738499
149.7379891700,-8.0328041039
161.7927276200,-8.6700205294
174.8179393700,-9.3561110672
188.8917528900,-10.0943994800
204.0985864300,-10.8883279732
220.5296544100,-11.7414324498
238.2835144700,-12.6573088417
257.4666587100,-13.6395688142
278.1941524400,-14.6917830622
300.5903243500,-15.8174104268
324.7895122900,-17.0197112455
350.9368690500,-18.3016437421
379.1892330200,-19.6657429748
409.7160689600,-21.1139829251
442.7004844600,-22.6476238165
478.3403283200,-24.2670487251
516.8493772400,-25.9715958786
558.4586181300,-27.7593956801
603.4176336500,-29.6272240579
651.9960992300,-31.5703858824
704.4854006600,-33.5826433643
761.2003819200,-35.6562039506
822.4812336700,-37.7817798570
888.6955338000,-39.9487267331
960.2404522500,-42.1452623047
1037.5451334000,-44.3587578139
1121.0732700000,-46.5760868787
1211.3258848000,-48.7840093703
1308.8443356000,-50.9695634301
1414.2135624000,-53.1204376668
1528.0655962000,-55.2252981694
1651.0833501000,-57.2740506505
1784.0047154000,-59.2580257514
1927.6269876000,-61.1700838058
2082.8116492000,-63.0046429143
2250.4895366000,-64.7576400900
2431.6664237000,-66.4264388394
2627.4290548000,-68.0096981245
2838.9516633000,-69.5072172521
3067.5030148000,-70.9197696412
3314.4540173000,-72.2489359893
3581.2859450000,-73.4969447615
3869.5993225000,-74.6665253715
4181.1235256000,-75.7607772229
4517.7271546000,-76.7830560106
4881.4292422000,-77.7368773763
5274.4113647000,-78.6258370802
5699.0307271000,-79.4535463092
6157.8343029000,-80.2235804216
6653.5741107000,-80.9394393545
7189.2237219000,-81.6045179130
7767.9960972000,-82.2220843167
8393.3628580000,-82.7952655035
9069.0751109000,-83.3270379003
9799.1859471000,-83.8202225262
10588.0747540000,-84.2774835034
11440.4734850000,-84.7013291653
12361.4950400000,-85.0941151345
13356.6639380000,-85.4580488358
14431.9494500000,-85.7951950281
15593.8014080000,-86.1074820170
16849.1888920000,-86.3967082886
18205.6420300000,-86.6645493579
19671.2971670000,-86.9125646782
21254.9456710000,-87.1422044914
22966.0866600000,-87.3548165338
24814.9839870000,-87.5516525335
26812.7278020000,-87.7338744572
28971.3010720000,-87.9025604778
31303.6514600000,-88.0587106429
33823.7689870000,-88.2032522422
36546.7699500000,-88.3370448656
39488.9875890000,-88.4608851604
42668.0700640000,-88.5755112934
46103.0863070000,-88.6816071267
49814.6404060000,-88.7798061205
53824.9951900000,-88.8706949743
58158.2057730000,-88.9548170207
62840.2638360000,-89.0326753846
67899.2535360000,-89.1047359224
73365.5199600000,-89.1714299533
79271.8511430000,-89.2331567973
85653.6747370000,-89.2902861305
92549.2705200000,-89.3431601716
100000.0000000000,-89.3920957099
