x,y
20.0000000000,-0.5228959671
20.4315162396,-0.5341853222
20.8723427925,-0.5457187473
21.3226805361,-0.5575015409
21.7827346823,-0.5695391181
22.2527148702,-0.5818370132
22.7328352623,-0.5944008824
23.2233146417,-0.6072365063
23.7243765120,-0.6203497933
24.2362491989,-0.6337467821
24.7591659547,-0.6474336448
25.2933650642,-0.6614166903
25.8390899531,-0.6757023670
26.3965892997,-0.6902972664
26.9661171473,-0.7052081263
27.5479330207,-0.7204418342
28.1423020440,-0.7360054309
28.7494950616,-0.7519061140
29.3697887616,-0.7681512420
30.0034658018,-0.7847483374
30.6508149387,-0.8017050915
31.3121311589,-0.8190293675
31.9877158134,-0.8367292054
32.6778767555,-0.8548128261
33.3829284803,-0.8732886354
34.1031922685,-0.8921652289
34.8389963328,-0.9114513966
35.5906759673,-0.9311561275
36.3585737002,-0.9512886148
37.1430394502,-0.9718582607
37.9444306858,-0.9928746817
38.7631125879,-1.0143477141
39.5994582169,-1.0362874196
40.4538486819,-1.0587040908
41.3266733149,-1.0816082573
42.2183298481,-1.1050106915
43.1292245951,-1.1289224155
44.0597726358,-1.1533547071
45.0103980060,-1.1783191066
45.9815338906,-1.2038274237
46.9736228203,-1.2298917453
47.9871168743,-1.2565244418
49.0224778855,-1.2837381759
50.0801776511,-1.3115459098
51.1606981481,-1.3399609139
52.2645317521,-1.3689967751
53.3921814624,-1.3986674057
54.5441611308,-1.4289870528
55.7209956960,-1.4599703073
56.9232214225,-1.4916321145
58.1513861452,-1.5239877836
59.4060495191,-1.5570529992
60.6877832740,-1.5908438316
61.9971714754,-1.6253767488
63.3348107904,-1.6606686285
64.7013107598,-1.6967367702
66.0972940756,-1.7335989088
67.5233968650,-1.7712732274
68.9802689800,-1.8097783724
70.4685742939,-1.8491334672
71.9889910034,-1.8893581283
73.5422119379,-1.9304724812
75.1289448752,-1.9724971770
76.7499128641,-2.0154534101
78.4058545536,-2.0593629364
80.0975245296,-2.1042480929
81.8256936589,-2.1501318172
83.5911494404,-2.1970376691
85.3946963639,-2.2449898522
87.2371562768,-2.2940132375
89.1193687583,-2.3441333876
91.0421915024,-2.3953765818
93.0065007085,-2.4477698436
95.0131914807,-2.5013409681
97.0631782358,-2.5561185525
99.1573951196,-2.6121320263
101.2967964331,-2.6694116853
103.4823570671,-2.7279887252
105.7150729465,-2.7878952785
107.9959614838,-2.8491644531
110.3260620434,-2.9118303728
112.7064364146,-2.9759282202
115.1381692956,-3.0414942820
117.6223687880,-3.1085659971
120.1601669017,-3.1771820072
122.7527200702,-3.2473822103
125.4012096785,-3.3192078183
128.1068426006,-3.3927014161
130.8708517499,-3.4679070269
133.6944966410,-3.5448701788
136.5790639633,-3.6236379777
139.5258681677,-3.7042591834
142.5362520657,-3.7867842911
145.6115874406,-3.8712656179
148.7532756733,-3.9577573948
151.9627483807,-4.0463158653
155.2414680677,-4.1369993893
158.5909287943,-4.2298685551
162.0126568557,-4.3249862981
165.5082114784,-4.4224180280
169.0791855304,-4.5222317647
172.7272062472,-4.6244982832
176.4539359730,-4.7292912690
180.2610729187,-4.8366874846
184.1503519354,-4.9467669473
188.1235453048,-5.0596131205
192.1824635473,-5.1753131184
196.3289562467,-5.2939579265
200.5649128929,-5.4156426376
204.8922637433,-5.5404667059
209.3129807020,-5.6685342211
213.8290782186,-5.7999542028
218.4426142061,-5.9348409177
223.1556909787,-6.0733142227
227.9704562095,-6.2154999341
232.8891039097,-6.3615302275
237.9138754279,-6.5115440695
243.0470604716,-6.6656876852
248.2909981506,-6.8241150652
253.6480780431,-6.9869885140
259.1207412840,-7.1544792467
264.7114816781,-7.3267680359
270.4228468358,-7.5040459160
276.2574393342,-7.6865149495
282.2179179034,-7.8743890619
288.3069986375,-8.0678949526
294.5274562327,-8.2672730892
300.8821252513,-8.4727787948
307.3739014139,-8.6846834373
314.0057429184,-8.9032757337
320.7806717883,-9.1288631791
327.7017752496,-9.3617736176
334.7722071380,-9.6023569692
341.9951893353,-9.8509871308
349.3740132385,-10.1080640732
356.9120412589,-10.3740161548
364.6127083545,-10.6493026800
372.4795235955,-10.9344167315
380.5160717631,-11.2298883101
388.7260149828,-11.5362878198
397.1130943939,-11.8542299438
405.6811318534,-12.1843779595
414.4340316781,-12.5274485513
423.3757824237,-12.8842171855
432.5104587023,-13.2555241235
441.8422230386,-13.6422811593
451.3753277678,-14.0454791803
461.1141169722,-14.4661966649
471.0630284613,-14.9056092503
481.2265957942,-15.3650005185
491.6094503449,-15.8457741781
502.2163234131,-16.3494678400
513.0520483804,-16.8777686190
524.1215629123,-17.4325308267
535.4299112084,-18.0157960605
546.9822463012,-18.6298160377
558.7838324038,-19.2770785702
570.8400473093,-19.9603371328
583.1563848407,-20.6826445275
595.7384573550,-21.4473912067
608.5919983002,-22.2583488664
621.7228648282,-23.1197199604
635.1370404634,-24.0361938031
648.8406378300,-25.0130098980
662.8399014369,-26.0560290328
677.1412105232,-27.1718124640
691.7510819654,-28.3677091223
706.6761732470,-29.6519500935
721.9232854918,-31.0337485471
737.4993665636,-32.5234015858
753.4115142320,-34.1323879112
769.6669794067,-35.8734513893
786.2731694417,-37.7606551009
803.2376515105,-39.8093827893
820.5681560549,-42.0362543156
838.2725803068,-44.4589086680
856.3589918875,-47.0955928905
874.8356324840,-49.9644803070
893.7109216039,-53.0826317968
912.9934604130,-56.4645192061
932.6920356539,-60.1200649808
952.8156236505,-64.0522349080
973.3733943981,-68.2543654153
994.3747157421,-72.7076071124
1015.8291576467,-77.3790746389
1037.7464965560,-82.2214087188
1060.1367198487,-87.1743508982
1083.0100303893,-92.1685272213
1106.3768511776,-97.1310075162
1130.2478300977,-101.9916029195
1154.6338447708,-106.6885921188
1179.5460075114,-111.1727784005
1204.9956703914,-115.4093562283
1230.9944304126,-119.3777097354
1257.5541347917,-123.0697077493
1284.6868863588,-126.4872026586
1312.4050490721,-129.6393464584
1340.7212536527,-132.5401342880
1369.6484033392,-135.2063806194
1399.1996797685,-137.6561803374
1429.3885489818,-139.9078165792
1460.2287675611,-141.9790369549
1491.7343888979,-143.8866114903
1523.9197695970,-145.6460939333
1556.7995760186,-147.2717227295
1590.3887909615,-148.7764133064
1624.7027204905,-150.1718067082
1659.7570009114,-151.4683502965
1695.5676058957,-152.6753942247
1732.1508537600,-153.8012931542
1769.5234149019,-154.8535066823
1807.7023193962,-155.8386946757
1846.7049647555,-156.7628054948
1886.5491238578,-157.6311562503
1927.2529530454,-158.4485049523
1968.8350003984,-159.2191148335
2011.3142141868,-159.9468113693
2054.7099515050,-160.6350326216
2099.0419870923,-161.2868735742
2144.3305223441,-161.9051251145
2190.5961945174,-162.4923082777
2237.8600861346,-163.0507043251
2286.1437345908,-163.5823811652
2335.4691419678,-164.0892165776
2385.8587850602,-164.5729186426
2437.3356256178,-165.0350437318
2489.9231208085,-165.4770123687
2543.6452339080,-165.9001232316
2598.5264452188,-166.3055655328
2654.5917632262,-166.6944299782
2711.8667359935,-167.0677184865
2770.3774628043,-167.4263528196
2830.1506060557,-167.7711822606
2891.2134034073,-168.1029904530
2953.5936801936,-168.4225015045
3017.3198621030,-168.7303854416
3082.4209881316,-169.0272630920
3148.9267238150,-169.3137104626
3216.8673747471,-169.5902626692
3286.2739003896,-169.8574174714
3357.1779281795,-170.1156384553
3429.6117679416,-170.3653579042
3503.6084266115,-170.6069793909
3579.2016232759,-170.8408801232
3656.4258045386,-171.0674130668
3735.3161602165,-171.2869088717
3815.9086393755,-171.4996776208
3898.2399667119,-171.7060104200
3982.3476592870,-171.9061808457
4068.2700436231,-172.1004462644
4156.0462731686,-172.2890490362
4245.7163461391,-172.4722176157
4337.3211237442,-172.6501675572
4430.9023488074,-172.8231024369
4526.5026647875,-172.9912146965
4624.1656352103,-173.1546864191
4723.9357635204,-173.3136900407
4825.8585133602,-173.4683890044
4929.9803292870,-173.6189383636
5036.3486579373,-173.7654853367
5145.0119696472,-173.9081698190
5256.0197805396,-174.0471248551
5369.4226750882,-174.1824770757
5485.2723291676,-174.3143471009
5603.6215336013,-174.4428499138
5724.5242182180,-174.5680952065
5848.0354764257,-174.6901877006
5974.2115903180,-174.8092274453
6103.1100563200,-174.9253100928
6234.7896113891,-175.0385271557
6369.3102597798,-175.1489662454
6506.7333003878,-175.2567112941
6647.1213546816,-175.3618427621
6790.5383952391,-175.4644378299
6937.0497748984,-175.5645705789
7086.7222565381,-175.6623121582
7239.6240435004,-175.7577309422
7395.8248106695,-175.8508926764
7555.3957362223,-175.9418606149
7718.4095340622,-176.0306956481
7884.9404869546,-176.1174564230
8055.0644803753,-176.2021994557
8228.8590370915,-176.2849792366
8406.4033524865,-176.3658483295
8587.7783306486,-176.4448574647
8773.0666212374,-176.5220556257
8962.3526571461,-176.5974901319
9155.7226929760,-176.6712067150
9353.2648443416,-176.7432495924
9555.0691280231,-176.8136615349
9761.2275029862,-176.8824839316
9971.8339122856,-176.9497568503
10186.9843258738,-177.0155190952
10406.7767843331,-177.0798082605
10631.3114435507,-177.1426607820
10860.6906203586,-177.2041119850
11095.0188391574,-177.2641961304
11334.4028795467,-177.3229464575
11578.9518249825,-177.3803952251
11828.7771124849,-177.4365737502
12083.9925834184,-177.4915124449
12344.7145353671,-177.5452408512
12611.0617751301,-177.5977876739
12883.1556728597,-177.6491808123
13161.1202173677,-177.6994473896
13445.0820726250,-177.7486137819
13735.1706354810,-177.7967056445
14031.5180946267,-177.8437479380
14334.2594908317,-177.8897649529
14643.5327784798,-177.9347803322
14959.4788884326,-177.9788170946
15282.2417922497,-178.0218976547
15611.9685677937,-178.0640438439
15948.8094662516,-178.1052769297
16292.9179806018,-178.1456176336
16644.4509155584,-178.1850861494
17003.5684590245,-178.2237021597
17370.4342550871,-178.2614848520
17745.2154785875,-178.2984529346
18128.0829112998,-178.3346246510
18519.2110197536,-178.3700177941
18918.7780347355,-178.4046497203
19326.9660325062,-178.4385373618
19743.9610177692,-178.4716972402
20169.9530084310,-178.5041454773
20605.1361221883,-178.5358978080
21049.7086649850,-178.5669695902
21503.8732213765,-178.5973758166
21967.8367468447,-178.6271311244
