x,y
20.0000000000,0.0026563808
20.4315162396,0.0027722576
20.8723427925,0.0028931899
21.3226805361,0.0030193981
21.7827346823,0.0031511125
22.2527148702,0.0032885735
22.7328352623,0.0034320318
23.2233146417,0.0035817491
23.7243765120,0.0037379986
24.2362491989,0.0039010653
24.7591659547,0.0040712469
25.2933650642,0.0042488539
25.8390899531,0.0044342102
26.3965892997,0.0046276543
26.9661171473,0.0048295392
27.5479330207,0.0050402332
28.1423020440,0.0052601210
28.7494950616,0.0054896038
29.3697887616,0.0057291006
30.0034658018,0.0059790486
30.6508149387,0.0062399040
31.3121311589,0.0065121431
31.9877158134,0.0067962629
32.6778767555,0.0070927823
33.3829284803,0.0074022427
34.1031922685,0.0077252091
34.8389963328,0.0080622715
35.5906759673,0.0084140455
36.3585737002,0.0087811736
37.1430394502,0.0091643265
37.9444306858,0.0095642042
38.7631125879,0.0099815374
39.5994582169,0.0104170886
40.4538486819,0.0108716537
41.3266733149,0.0113460637
42.2183298481,0.0118411857
43.1292245951,0.0123579247
44.0597726358,0.0128972257
45.0103980060,0.0134600747
45.9815338906,0.0140475012
46.9736228203,0.0146605795
47.9871168743,0.0153004312
49.0224778855,0.0159682269
50.0801776511,0.0166651888
51.1606981481,0.0173925924
52.2645317521,0.0181517692
53.3921814624,0.0189441092
54.5441611308,0.0197710634
55.7209956960,0.0206341464
56.9232214225,0.0215349393
58.1513861452,0.0224750926
59.4060495191,0.0234563295
60.6877832740,0.0244804488
61.9971714754,0.0255493283
63.3348107904,0.0266649285
64.7013107598,0.0278292960
66.0972940756,0.0290445675
67.5233968650,0.0303129738
68.9802689800,0.0316368440
70.4685742939,0.0330186097
71.9889910034,0.0344608097
73.5422119379,0.0359660946
75.1289448752,0.0375372323
76.7499128641,0.0391771124
78.4058545536,0.0408887526
80.0975245296,0.0426753034
81.8256936589,0.0445400550
83.5911494404,0.0464864430
85.3946963639,0.0485180549
87.2371562768,0.0506386372
89.1193687583,0.0528521024
91.0421915024,0.0551625366
93.0065007085,0.0575742072
95.0131914807,0.0600915708
97.0631782358,0.0627192826
99.1573951196,0.0654622043
101.2967964331,0.0683254145
103.4823570671,0.0713142178
105.7150729465,0.0744341553
107.9959614838,0.0776910156
110.3260620434,0.0810908459
112.7064364146,0.0846399637
115.1381692956,0.0883449697
117.6223687880,0.0922127600
120.1601669017,0.0962505405
122.7527200702,0.1004658407
125.4012096785,0.1048665288
128.1068426006,0.1094608273
130.8708517499,0.1142573296
133.6944966410,0.1192650174
136.5790639633,0.1244932783
139.5258681677,0.1299519253
142.5362520657,0.1356512167
145.6115874406,0.1416018767
148.7532756733,0.1478151179
151.9627483807,0.1543026640
155.2414680677,0.1610767744
158.5909287943,0.1681502693
162.0126568557,0.1755365573
165.5082114784,0.1832496626
169.0791855304,0.1913042556
172.7272062472,0.1997156835
176.4539359730,0.2085000034
180.2610729187,0.2176740168
184.1503519354,0.2272553062
188.1235453048,0.2372622732
192.1824635473,0.2477141790
196.3289562467,0.2586311869
200.5649128929,0.2700344074
204.8922637433,0.2819459452
209.3129807020,0.2943889496
213.8290782186,0.3073876666
218.4426142061,0.3209674952
223.1556909787,0.3351550454
227.9704562095,0.3499782009
232.8891039097,0.3654661840
237.9138754279,0.3816496256
243.0470604716,0.3985606376
248.2909981506,0.4162328910
253.6480780431,0.4347016976
259.1207412840,0.4540040966
264.7114816781,0.4741789465
270.4228468358,0.4952670221
276.2574393342,0.5173111173
282.2179179034,0.5403561545
288.3069986375,0.5644492991
294.5274562327,0.5896400827
300.8821252513,0.6159805319
307.3739014139,0.6435253055
314.0057429184,0.6723318404
320.7806717883,0.7024605046
327.7017752496,0.7339747610
334.7722071380,0.7669413391
341.9951893353,0.8014304180
349.3740132385,0.8375158188
356.9120412589,0.8752752084
364.6127083545,0.9147903146
372.4795235955,0.9561471520
380.5160717631,0.9994362600
388.7260149828,1.0447529527
397.1130943939,1.0921975797
405.6811318534,1.1418757986
414.4340316781,1.1938988576
423.3757824237,1.2483838869
432.5104587023,1.3054541980
441.8422230386,1.3652395874
451.3753277678,1.4278766412
461.1141169722,1.4935090369
471.0630284613,1.5622878340
481.2265957942,1.6343717464
491.6094503449,1.7099273851
502.2163234131,1.7891294552
513.0520483804,1.8721608897
524.1215629123,1.9592128933
535.4299112084,2.0504848662
546.9822463012,2.1461841628
558.7838324038,2.2465256344
570.8400473093,2.3517308845
583.1563848407,2.4620271474
595.7384573550,2.5776456732
608.5919983002,2.6988194733
621.7228648282,2.8257802300
635.1370404634,2.9587541285
648.8406378300,3.0979562923
662.8399014369,3.2435834183
677.1412105232,3.3958040963
691.7510819654,3.5547461584
706.6761732470,3.7204802339
721.9232854918,3.8929984835
737.4993665636,4.0721872546
753.4115142320,4.2577921448
769.6669794067,4.4493737235
786.2731694417,4.6462519860
803.2376515105,4.8474376173
820.5681560549,5.0515484990
838.2725803068,5.2567108922
856.3589918875,5.4604467882
874.8356324840,5.6595525872
893.7109216039,5.8499801353
912.9934604130,6.0267395898
932.6920356539,6.1838541917
952.8156236505,6.3144077411
973.3733943981,6.4107317096
994.3747157421,6.4647729057
1015.8291576467,6.4686560434
1037.7464965560,6.4154048010
1060.1367198487,6.2997191239
1083.0100303893,6.1186514826
1106.3768511776,5.8720146559
1130.2478300977,5.5624083928
1154.6338447708,5.1948573075
1179.5460075114,4.7761609217
1204.9956703914,4.3141198668
1230.9944304126,3.8168001258
1257.5541347917,3.2919461587
1284.6868863588,2.7465875237
1312.4050490721,2.1868299863
1340.7212536527,1.6177923628
1369.6484033392,1.0436420749
1399.1996797685,0.4676874101
1429.3885489818,-0.1075050655
1460.2287675611,-0.6799887107
1491.7343888979,-1.2483226192
1523.9197695970,-1.8114708357
1556.7995760186,-2.3687168443
1590.3887909615,-2.9195929646
1624.7027204905,-3.4638231748
1659.7570009114,-4.0012774612
1695.5676058957,-4.5319357566
1732.1508537600,-5.0558596866
1769.5234149019,-5.5731705809
1807.7023193962,-6.0840324561
1846.7049647555,-6.5886389171
1886.5491238578,-7.0872031251
1927.2529530454,-7.5799501608
1968.8350003984,-8.0671112475
2011.3142141868,-8.5489194184
2054.7099515050,-9.0256063007
2099.0419870923,-9.4973997621
2144.3305223441,-9.9645222214
2190.5961945174,-10.4271894691
2237.8600861346,-10.8856098790
2286.1437345908,-11.3399839166
2335.4691419678,-11.7905038741
2385.8587850602,-12.2373537738
2437.3356256178,-12.6807093987
2489.9231208085,-13.1207384158
2543.6452339080,-13.5576005665
2598.5264452188,-13.9914479036
2654.5917632262,-14.4224250606
2711.8667359935,-14.8506695409
2770.3774628043,-15.2763120178
2830.1506060557,-15.6994766398
2891.2134034073,-16.1202813343
2953.5936801936,-16.5388381072
3017.3198621030,-16.9552533365
3082.4209881316,-17.3696280551
3148.9267238150,-17.7820582252
3216.8673747471,-18.1926350010
3286.2739003896,-18.6014449791
3357.1779281795,-19.0085704388
3429.6117679416,-19.4140895694
3503.6084266115,-19.8180766870
3579.2016232759,-20.2206024390
3656.4258045386,-20.6217339988
3735.3161602165,-21.0215352495
3815.9086393755,-21.4200669573
3898.2399667119,-21.8173869362
3982.3476592870,-22.2135502026
4068.2700436231,-22.6086091218
4156.0462731686,-23.0026135464
4245.7163461391,-23.3956109465
4337.3211237442,-23.7876465332
4430.9023488074,-24.1787633745
4526.5026647875,-24.5690025051
4624.1656352103,-24.9584030303
4723.9357635204,-25.3470022236
4825.8585133602,-25.7348356193
4929.9803292870,-26.1219370997
5036.3486579373,-26.5083389778
5145.0119696472,-26.8940720750
5256.0197805396,-27.2791657954
5369.4226750882,-27.6636481950
5485.2723291676,-28.0475460482
5603.6215336013,-28.4308849099
5724.5242182180,-28.8136891749
5848.0354764257,-29.1959821337
5974.2115903180,-29.5777860258
6103.1100563200,-29.9591220900
6234.7896113891,-30.3400106117
6369.3102597798,-30.7204709685
6506.7333003878,-31.1005216729
6647.1213546816,-31.4801804129
6790.5383952391,-31.8594640908
6937.0497748984,-32.2383888599
7086.7222565381,-32.6169701590
7239.6240435004,-32.9952227456
7395.8248106695,-33.3731607276
7555.3957362223,-33.7507975928
7718.4095340622,-34.1281462375
7884.9404869546,-34.5052189935
8055.0644803753,-34.8820276536
8228.8590370915,-35.2585834964
8406.4033524865,-35.6348973091
8587.7783306486,-36.0109794103
8773.0666212374,-36.3868396703
8962.3526571461,-36.7624875319
9155.7226929760,-37.1379320289
9353.2648443416,-37.5131818051
9555.0691280231,-37.8882451307
9761.2275029862,-38.2631299199
9971.8339122856,-38.6378437458
10186.9843258738,-39.0123938560
10406.7767843331,-39.3867871869
10631.3114435507,-39.7610303771
10860.6906203586,-40.1351297809
11095.0188391574,-40.5090914802
11334.4028795467,-40.8829212971
11578.9518249825,-41.2566248046
11828.7771124849,-41.6302073382
12083.9925834184,-42.0036740052
12344.7145353671,-42.3770296958
12611.0617751301,-42.7502790915
12883.1556728597,-43.1234266747
13161.1202173677,-43.4964767374
13445.0820726250,-43.8694333890
13735.1706354810,-44.2423005643
14031.5180946267,-44.6150820314
14334.2594908317,-44.9877813984
14643.5327784798,-45.3604021205
14959.4788884326,-45.7329475066
15282.2417922497,-46.1054207253
15611.9685677937,-46.4778248115
15948.8094662516,-46.8501626714
16292.9179806018,-47.2224370885
16644.4509155584,-47.5946507286
17003.5684590245,-47.9668061450
17370.4342550871,-48.3389057832
17745.2154785875,-48.7109519854
18128.0829112998,-49.0829469952
18519.2110197536,-49.4548929614
18918.7780347355,-49.8267919424
19326.9660325062,-50.1986459097
19743.9610177692,-50.5704567518
20169.9530084310,-50.9422262778
20605.1361221883,-51.3139562206
21049.7086649850,-51.6856482400
21503.8732213765,-52.0573039262
21967.8367468447,-52.4289248025
22441.8106621041,-52.8005123279
22926.0109494426,-53.1720679004
23420.6582511415,-53.5435928590
23925.9779700182,-53.9150884866
24442.2003721392,-54.2865560121
24969.5606917484,-54.6579966128
25508.2992384592,-55.0294114167
26058.6615067602,-55.4008015042
26620.8982878831,-55.7721679106
27195.2657840837,-56.1435116276
27782.0257253898,-56.5148336053
28381.4454888671,-56.8861347540
28993.7982204583,-57.2574159457
29619.3629594517,-57.6286780161
30258.4247656351,-57.9999217655
30911.2748491924,-58.3711479608
31578.2107034037,-58.7423573369
32259.5362402082,-59.1135505977
32955.5619286920,-59.4847284176
33666.6049365639,-59.8558914429
34392.9892746835,-60.2270402926
35135.0459447075,-60.5981755599
35893.1130899226,-60.9692978132
36667.5361493311,-61.3404075969
37458.6680150625,-61.7115054329
38266.8691931804,-62.0825918208
39092.5079679594,-62.4536672398
39935.9605697065,-62.8247321486
40797.6113462031,-63.1957869869
41677.8529378458,-63.5668321759
42577.0864565670,-63.9378681193
43495.7216686142,-64.3088952038
44434.1771812748,-64.6799137999
45392.8806336283,-65.0509242627
46372.2688914145,-65.4219269323
47372.7882461062,-65.7929221346
48394.8946182771,-66.1639101819
49439.0537653576,-66.5348913735
50505.7414938729,-66.9058659961
51595.4438762601,-67.2768343243
52708.6574723640,-67.6477966213
53845.8895557110,-68.0187531394
55007.6583446661,-68.3897041202
56194.4932385760,-68.7606497952
57406.9350590084,-69.1315903864
58645.5362961952,-69.5025261061
59910.8613607939,-69.8734571583
61203.4868410800,-70.2443837379
62524.0017656894,-70.6153060320
63873.0078720292,-70.9862242198
65251.1198804794,-71.3571384729
66658.9657745114,-71.7280489559
68097.1870868500,-72.0989558264
69566.4391918093,-72.4698592353
71067.3916039367,-72.8407593275
72600.7282830992,-73.2116562416
74167.1479461534,-73.5825501104
75767.3643853396,-73.9534410612
77402.1067935452,-74.3243292161
79072.1200965862,-74.6952146919
80778.1652926578,-75.0660976006
82521.0197991094,-75.4369780495
84301.4778067008,-75.8078561415
86120.3506415024,-76.1787319751
87978.4671346036,-76.5496056446
89876.6739997970,-76.9204772406
91815.8362194130,-77.2913468497
93796.8374384784,-77.6622145550
95820.5803673789,-78.0330804360
97887.9871932092,-78.4039445691
100000.0000000000,-78.7748070273
