x,y
0.0000000000,0.0000000000
0.0000058431,0.0007709032
0.0000116861,0.0030627666
0.0000175292,0.0068430215
0.0000233723,0.0120774336
0.0000292154,0.0187301877
0.0000350584,0.0267639728
0.0000409015,0.0361400678
0.0000467446,0.0468184282
0.0000525876,0.0587577729
0.0000584307,0.0719156712
0.0000642738,0.0862486300
0.0000701169,0.1017121806
0.0000759599,0.1182609663
0.0000818030,0.1358488286
0.0000876461,0.1544288936
0.0000934891,0.1739536578
0.0000993322,0.1943750727
0.0001051753,0.2156446297
0.0001110184,0.2377134430
0.0001168614,0.2605323320
0.0001227045,0.2840519026
0.0001285476,0.3082226271
0.0001343907,0.3329949229
0.0001402337,0.3583192299
0.0001460768,0.3841460859
0.0001519199,0.4104262012
0.0001577629,0.4371105306
0.0001636060,0.4641503444
0.0001694491,0.4914972971
0.0001752922,0.5191034945
0.0001811352,0.5469215587
0.0001869783,0.5749046909
0.0001928214,0.6030067323
0.0001986644,0.6311822231
0.0002045075,0.6593864584
0.0002103506,0.6875755433
0.0002161937,0.7157064441
0.0002220367,0.7437370385
0.0002278798,0.7716261629
0.0002337229,0.7993336571
0.0002395659,0.8268204071
0.0002454090,0.8540483848
0.0002512521,0.8809806866
0.0002570952,0.9075815676
0.0002629382,0.9338164751
0.0002687813,0.9596520788
0.0002746244,0.9850562983
0.0002804674,1.0099983290
0.0002863105,1.0344486652
0.0002921536,1.0583791198
0.0002979967,1.0817628433
0.0003038397,1.1045743394
0.0003096828,1.1267894777
0.0003155259,1.1483855054
0.0003213689,1.1693410558
0.0003272120,1.1896361545
0.0003330551,1.2092522234
0.0003388982,1.2281720830
0.0003447412,1.2463799518
0.0003505843,1.2638614439
0.0003564274,1.2806035645
0.0003622705,1.2965947033
0.0003681135,1.3118246258
0.0003739566,1.3262844630
0.0003797997,1.3399666986
0.0003856427,1.3528651551
0.0003914858,1.3649749773
0.0003973289,1.3762926151
0.0004031720,1.3868158033
0.0004090150,1.3965435412
0.0004148581,1.4054760696
0.0004207012,1.4136148468
0.0004265442,1.4209625232
0.0004323873,1.4275229145
0.0004382304,1.4333009731
0.0004440735,1.4383027597
0.0004499165,1.4425354119
0.0004557596,1.4460071132
0.0004616027,1.4487270602
0.0004674457,1.4507054293
0.0004732888,1.4519533422
0.0004791319,1.4524828310
0.0004849750,1.4523068018
0.0004908180,1.4514389989
0.0004966611,1.4498939669
0.0005025042,1.4476870138
0.0005083472,1.4448341724
0.0005141903,1.4413521618
0.0005200334,1.4372583490
0.0005258765,1.4325707094
0.0005317195,1.4273077880
0.0005375626,1.4214886595
0.0005434057,1.4151328892
0.0005492487,1.4082604937
0.0005550918,1.4008919010
0.0005609349,1.3930479119
0.0005667780,1.3847496604
0.0005726210,1.3760185749
0.0005784641,1.3668763401
0.0005843072,1.3573448582
0.0005901503,1.3474462115
0.0005959933,1.3372026248
0.0006018364,1.3266364285
0.0006076795,1.3157700226
0.0006135225,1.3046258404
0.0006193656,1.2932263140
0.0006252087,1.2815938393
0.0006310518,1.2697507425
0.0006368948,1.2577192474
0.0006427379,1.2455214425
0.0006485810,1.2331792505
0.0006544240,1.2207143970
0.0006602671,1.2081483815
0.0006661102,1.1955024480
0.0006719533,1.1827975580
0.0006777963,1.1700543632
0.0006836394,1.1572931795
0.0006894825,1.1445339629
0.0006953255,1.1317962850
0.0007011686,1.1190993105
0.0007070117,1.1064617758
0.0007128548,1.0939019678
0.0007186978,1.0814377050
0.0007245409,1.0690863185
0.0007303840,1.0568646352
0.0007362270,1.0447889613
0.0007420701,1.0328750669
0.0007479132,1.0211381726
0.0007537563,1.0095929363
0.0007595993,0.9982534411
0.0007654424,0.9871331853
0.0007712855,0.9762450724
0.0007771285,0.9656014026
0.0007829716,0.9552138656
0.0007888147,0.9450935341
0.0007946578,0.9352508588
0.0008005008,0.9256956641
0.0008063439,0.9164371450
0.0008121870,0.9074838647
0.0008180301,0.8988437541
0.0008238731,0.8905241110
0.0008297162,0.8825316016
0.0008355593,0.8748722619
0.0008414023,0.8675515006
0.0008472454,0.8605741027
0.0008530885,0.8539442343
0.0008589316,0.8476654476
0.0008647746,0.8417406875
0.0008706177,0.8361722987
0.0008764608,0.8309620332
0.0008823038,0.8261110592
0.0008881469,0.8216199706
0.0008939900,0.8174887966
0.0008998331,0.8137170129
0.0009056761,0.8103035527
0.0009115192,0.8072468191
0.0009173623,0.8045446973
0.0009232053,0.8021945679
0.0009290484,0.8001933207
0.0009348915,0.7985373684
0.0009407346,0.7972226618
0.0009465776,0.7962447047
0.0009524207,0.7955985688
0.0009582638,0.7952789103
0.0009641068,0.7952799856
0.0009699499,0.7955956678
0.0009757930,0.7962194636
0.0009816361,0.7971445302
0.0009874791,0.7983636923
0.0009933222,0.7998694597
0.0009991653,0.8016540450
0.0010050083,0.8037093807
0.0010108514,0.8060271373
0.0010166945,0.8085987413
0.0010225376,0.8114153926
0.0010283806,0.8144680826
0.0010342237,0.8177476121
0.0010400668,0.8212446086
0.0010459098,0.8249495449
0.0010517529,0.8288527557
0.0010575960,0.8329444558
0.0010634391,0.8372147571
0.0010692821,0.8416536860
0.0010751252,0.8462512001
0.0010809683,0.8509972049
0.0010868114,0.8558815708
0.0010926544,0.8608941488
0.0010984975,0.8660247866
0.0011043406,0.8712633446
0.0011101836,0.8765997108
0.0011160267,0.8820238160
0.0011218698,0.8875256484
0.0011277129,0.8930952682
0.0011335559,0.8987228209
0.0011393990,0.9043985514
0.0011452421,0.9101128169
0.0011510851,0.9158560992
0.0011569282,0.9216190176
0.0011627713,0.9273923403
0.0011686144,0.9331669958
0.0011744574,0.9389340836
0.0011803005,0.9446848851
0.0011861436,0.9504108730
0.0011919866,0.9561037213
0.0011978297,0.9617553136
0.0012036728,0.9673577520
0.0012095159,0.9729033650
0.0012153589,0.9783847150
0.0012212020,0.9837946052
0.0012270451,0.9891260860
0.0012328881,0.9943724610
0.0012387312,0.9995272925
0.0012445743,1.0045844064
0.0012504174,1.0095378969
0.0012562604,1.0143821300
0.0012621035,1.0191117473
0.0012679466,1.0237216688
0.0012737896,1.0282070957
0.0012796327,1.0325635119
0.0012854758,1.0367866859
0.0012913189,1.0408726720
0.0012971619,1.0448178104
0.0013030050,1.0486187278
0.0013088481,1.0522723369
0.0013146912,1.0557758358
0.0013205342,1.0591267069
0.0013263773,1.0623227150
0.0013322204,1.0653619059
0.0013380634,1.0682426035
0.0013439065,1.0709634074
0.0013497496,1.0735231896
0.0013555927,1.0759210912
0.0013614357,1.0781565183
0.0013672788,1.0802291384
0.0013731219,1.0821388753
0.0013789649,1.0838859045
0.0013848080,1.0854706485
0.0013906511,1.0868937709
0.0013964942,1.0881561712
0.0014023372,1.0892589785
0.0014081803,1.0902035459
0.0014140234,1.0909914435
0.0014198664,1.0916244526
0.0014257095,1.0921045583
0.0014315526,1.0924339426
0.0014373957,1.0926149779
0.0014432387,1.0926502190
0.0014490818,1.0925423959
0.0014549249,1.0922944067
0.0014607679,1.0919093091
0.0014666110,1.0913903135
0.0014724541,1.0907407746
0.0014782972,1.0899641837
0.0014841402,1.0890641607
0.0014899833,1.0880444460
0.0014958264,1.0869088926
0.0015016694,1.0856614580
0.0015075125,1.0843061958
0.0015133556,1.0828472483
0.0015191987,1.0812888376
0.0015250417,1.0796352585
0.0015308848,1.0778908696
0.0015367279,1.0760600861
0.0015425710,1.0741473717
0.0015484140,1.0721572305
0.0015542571,1.0700941998
0.0015601002,1.0679628421
0.0015659432,1.0657677381
0.0015717863,1.0635134786
0.0015776294,1.0612046579
0.0015834725,1.0588458663
0.0015893155,1.0564416833
0.0015951586,1.0539966706
0.0016010017,1.0515153656
0.0016068447,1.0490022749
0.0016126878,1.0464618677
0.0016185309,1.0438985701
0.0016243740,1.0413167586
0.0016302170,1.0387207547
0.0016360601,1.0361148191
