x,y
20.0000000000,-0.0015428078
20.4315162396,-0.0016100882
20.8723427925,-0.0016803021
21.3226805361,-0.0017535773
21.7827346823,-0.0018300472
22.2527148702,-0.0019098510
22.7328352623,-0.0019931342
23.2233146417,-0.0020800482
23.7243765120,-0.0021707512
24.2362491989,-0.0022654085
24.7591659547,-0.0023641923
25.2933650642,-0.0024672823
25.8390899531,-0.0025748662
26.3965892997,-0.0026871397
26.9661171473,-0.0028043073
27.5479330207,-0.0029265819
28.1423020440,-0.0030541862
28.7494950616,-0.0031873522
29.3697887616,-0.0033263221
30.0034658018,-0.0034713488
30.6508149387,-0.0036226960
31.3121311589,-0.0037806389
31.9877158134,-0.0039454646
32.6778767555,-0.0041174730
33.3829284803,-0.0042969765
34.1031922685,-0.0044843016
34.8389963328,-0.0046797887
35.5906759673,-0.0048837930
36.3585737002,-0.0050966851
37.1430394502,-0.0053188518
37.9444306858,-0.0055506968
38.7631125879,-0.0057926409
39.5994582169,-0.0060451235
40.4538486819,-0.0063086031
41.3266733149,-0.0065835579
42.2183298481,-0.0068704868
43.1292245951,-0.0071699106
44.0597726358,-0.0074823723
45.0103980060,-0.0078084388
45.9815338906,-0.0081487012
46.9736228203,-0.0085037765
47.9871168743,-0.0088743082
49.0224778855,-0.0092609678
50.0801776511,-0.0096644556
51.1606981481,-0.0100855024
52.2645317521,-0.0105248705
53.3921814624,-0.0109833553
54.5441611308,-0.0114617862
55.7209956960,-0.0119610287
56.9232214225,-0.0124819855
58.1513861452,-0.0130255984
59.4060495191,-0.0135928496
60.6877832740,-0.0141847636
61.9971714754,-0.0148024092
63.3348107904,-0.0154469011
64.7013107598,-0.0161194019
66.0972940756,-0.0168211242
67.5233968650,-0.0175533328
68.9802689800,-0.0183173466
70.4685742939,-0.0191145411
71.9889910034,-0.0199463510
73.5422119379,-0.0208142723
75.1289448752,-0.0217198648
76.7499128641,-0.0226647554
78.4058545536,-0.0236506402
80.0975245296,-0.0246792879
81.8256936589,-0.0257525425
83.5911494404,-0.0268723266
85.3946963639,-0.0280406447
87.2371562768,-0.0292595865
89.1193687583,-0.0305313302
91.0421915024,-0.0318581468
93.0065007085,-0.0332424032
95.0131914807,-0.0346865666
97.0631782358,-0.0361932083
99.1573951196,-0.0377650083
101.2967964331,-0.0394047592
103.4823570671,-0.0411153715
105.7150729465,-0.0428998775
107.9959614838,-0.0447614370
110.3260620434,-0.0467033419
112.7064364146,-0.0487290216
115.1381692956,-0.0508420486
117.6223687880,-0.0530461440
120.1601669017,-0.0553451836
122.7527200702,-0.0577432035
125.4012096785,-0.0602444070
128.1068426006,-0.0628531706
130.8708517499,-0.0655740510
133.6944966410,-0.0684117918
136.5790639633,-0.0713713308
139.5258681677,-0.0744578072
142.5362520657,-0.0776765695
145.6115874406,-0.0810331830
148.7532756733,-0.0845334381
151.9627483807,-0.0881833585
155.2414680677,-0.0919892096
158.5909287943,-0.0959575078
162.0126568557,-0.1000950288
165.5082114784,-0.1044088172
169.0791855304,-0.1089061962
172.7272062472,-0.1135947769
