# Bode del filtro pasabajos RC - barrido de frecuencia
# ATENCION: datos SINTETICOS generados para el ejemplo de Xtal.
#           No son mediciones reales de laboratorio.
# Instrumento simulado: analizador de respuesta en frecuencia
# Amplitud de entrada: 1.000 Vpp
Frequency (Hz),Magnitude (dB),Phase (deg)
10.000,-0.0177,-0.759
13.335,-0.0141,0.013
17.783,-0.0167,-2.659
23.714,0.0375,-1.644
31.623,-0.0303,-1.672
42.170,0.0203,-1.119
56.234,0.0653,-3.076
74.989,-0.1126,-5.376
100.000,-0.0131,-4.231
133.352,-0.0706,-7.663
177.828,-0.0696,-11.617
237.137,-0.2720,-12.716
316.228,-0.3039,-17.704
421.697,-0.6570,-22.456
562.341,-1.0856,-30.413
749.894,-1.8489,-38.350
1000.000,-3.2960,-45.477
1333.521,-4.5108,-51.988
1778.279,-6.0699,-61.827
2371.374,-8.0602,-68.101
3162.278,-10.3719,-72.665
4216.965,-12.6693,-75.673
5623.413,-15.0027,-79.466
7498.942,-17.4419,-81.828
10000.000,-20.0614,-85.041
13335.214,-22.5234,-85.134
17782.794,-24.9863,-84.191
23713.737,-27.5485,-88.778
31622.777,-29.8545,-86.613
42169.650,-32.3841,-87.713
56234.133,-34.7726,-89.078
74989.421,-37.6139,-89.816
100000.000,-39.8284,-91.011
