x,y
10.0000000000,-0.7590000000
13.3350000000,0.0130000000
17.7830000000,-2.6590000000
23.7140000000,-1.6440000000
31.6230000000,-1.6720000000
42.1700000000,-1.1190000000
56.2340000000,-3.0760000000
74.9890000000,-5.3760000000
100.0000000000,-4.2310000000
133.3520000000,-7.6630000000
177.8280000000,-11.6170000000
237.1370000000,-12.7160000000
316.2280000000,-17.7040000000
421.6970000000,-22.4560000000
562.3410000000,-30.4130000000
749.8940000000,-38.3500000000
1000.0000000000,-45.4770000000
1333.5210000000,-51.9880000000
1778.2790000000,-61.8270000000
2371.3740000000,-68.1010000000
3162.2780000000,-72.6650000000
4216.9650000000,-75.6730000000
5623.4130000000,-79.4660000000
7498.9420000000,-81.8280000000
10000.0000000000,-85.0410000000
13335.2140000000,-85.1340000000
17782.7940000000,-84.1910000000
23713.7370000000,-88.7780000000
31622.7770000000,-86.6130000000
42169.6500000000,-87.7130000000
56234.1330000000,-89.0780000000
74989.4210000000,-89.8160000000
100000.0000000000,-91.0110000000
