x,y
10.0000000000,-0.0177000000
13.3350000000,-0.0141000000
17.7830000000,-0.0167000000
23.7140000000,0.0375000000
31.6230000000,-0.0303000000
42.1700000000,0.0203000000
56.2340000000,0.0653000000
74.9890000000,-0.1126000000
100.0000000000,-0.0131000000
133.3520000000,-0.0706000000
177.8280000000,-0.0696000000
237.1370000000,-0.2720000000
316.2280000000,-0.3039000000
421.6970000000,-0.6570000000
562.3410000000,-1.0856000000
749.8940000000,-1.8489000000
1000.0000000000,-3.2960000000
1333.5210000000,-4.5108000000
1778.2790000000,-6.0699000000
2371.3740000000,-8.0602000000
3162.2780000000,-10.3719000000
4216.9650000000,-12.6693000000
5623.4130000000,-15.0027000000
7498.9420000000,-17.4419000000
10000.0000000000,-20.0614000000
13335.2140000000,-22.5234000000
17782.7940000000,-24.9863000000
23713.7370000000,-27.5485000000
31622.7770000000,-29.8545000000
42169.6500000000,-32.3841000000
56234.1330000000,-34.7726000000
74989.4210000000,-37.6139000000
100000.0000000000,-39.8284000000
