x,y
10.0000000000,-0.0004388965
10.4712854810,-0.0004812381
10.9647819610,-0.0005276642
11.4815362150,-0.0005785689
12.0226443460,-0.0006343841
12.5892541180,-0.0006955834
13.1825673860,-0.0007626861
13.8038426460,-0.0008362617
14.4543977070,-0.0009169342
15.1356124840,-0.0010053881
15.8489319250,-0.0011023738
16.5958690740,-0.0012087140
17.3780082870,-0.0013253108
18.1970085860,-0.0014531530
19.0546071800,-0.0015933249
19.9526231500,-0.0017470151
20.8929613090,-0.0019155268
21.8776162390,-0.0021002887
22.9086765280,-0.0023028670
23.9883291900,-0.0025249790
25.1188643150,-0.0027685067
26.3026799190,-0.0030355139
27.5422870330,-0.0033282626
28.8403150310,-0.0036492325
30.1995172040,-0.0040011418
31.6227766020,-0.0043869698
33.1131121480,-0.0048099824
34.6736850450,-0.0052737592
36.3078054770,-0.0057822234
38.0189396320,-0.0063396750
39.8107170550,-0.0069508261
41.6869383470,-0.0076208413
43.6515832240,-0.0083553794
45.7088189610,-0.0091606418
47.8630092320,-0.0100434228
50.1187233630,-0.0110111668
52.4807460250,-0.0120720290
54.9540873860,-0.0132349437
57.5439937340,-0.0145096965
60.2559586070,-0.0159070051
63.0957344480,-0.0174386070
66.0693448010,-0.0191173545
69.1830970920,-0.0209573191
72.4435960070,-0.0229739045
75.8577575030,-0.0251839708
79.4328234720,-0.0276059683
83.1763771100,-0.0302600841
87.0963589960,-0.0331684012
91.2010839360,-0.0363550705
95.4992586020,-0.0398464986
100.0000000000,-0.0436715500
104.7128548100,-0.0478617669
109.6478196100,-0.0524516064
114.8153621500,-0.0574786962
120.2264434600,-0.0629841107
125.8925411800,-0.0690126669
131.8256738600,-0.0756132431
138.0384264600,-0.0828391194
144.5439770700,-0.0907483412
151.3561248400,-0.0994041070
158.4893192500,-0.1088751789
165.9586907400,-0.1192363182
173.7800828700,-0.1305687421
181.9700858600,-0.1429606043
190.5460718000,-0.1565074943
199.5262315000,-0.1713129561
208.9296130900,-0.1874890194
218.7761623900,-0.2051567432
229.0867652800,-0.2244467621
239.8832919000,-0.2454998321
251.1886431500,-0.2684673637
263.0267991900,-0.2935119361
275.4228703300,-0.3208077776
288.4031503100,-0.3505411994
301.9951720400,-0.3829109664
316.2277660200,-0.4181285879
331.1311214800,-0.4564185051
346.7368504500,-0.4980181568
363.0780547700,-0.5431778964
380.1893963200,-0.5921607356
398.1071705500,-0.6452418893
416.8693834700,-0.7027080947
436.5158322400,-0.7648566794
457.0881896100,-0.8319943567
478.6300923200,-0.9044357258
501.1872336300,-0.9825014659
524.8074602500,-1.0665162145
549.5408738600,-1.1568061306
575.4399373400,-1.2536961555
602.5595860700,-1.3575069922
630.9573444800,-1.4685518408
660.6934480100,-1.5871329364
691.8309709200,-1.7135379542
724.4359600700,-1.8480363540
758.5775750300,-1.9908757510
794.3282347200,-2.1422784050
831.7637711000,-2.3024379263
870.9635899600,-2.4715162956
912.0108393600,-2.6496412919
954.9925860200,-2.8369044138
1000.0000000000,-3.0333593620
1047.1285481000,-3.2390211389
1096.4781961000,-3.4538657959
1148.1536215000,-3.6778308366
1202.2644346000,-3.9108162627
1258.9254118000,-4.1526862260
1318.2567386000,-4.4032712274
1380.3842646000,-4.6623707910
1445.4397707000,-4.9297565243
1513.5612484000,-5.2051754718
1584.8931925000,-5.4883536603
1659.5869074000,-5.7789997435
1737.8008287000,-6.0768086497
1819.7008586000,-6.3814651533
1905.4607180000,-6.6926472952
1995.2623150000,-7.0100295966
2089.2961309000,-7.3332860167
2187.7616239000,-7.6620926237
2290.8676528000,-7.9961299602
2398.8329190000,-8.3350850923
2511.8864315000,-8.6786533435
2630.2679919000,-9.0265397254
2754.2287033000,-9.3784600774
2884.0315031000,-9.7341419399
3019.9517204000,-10.0933251796
3162.2776602000,-10.4557623973
3311.3112148000,-10.8212191419
3467.3685045000,-11.1894739565
3630.7805477000,-11.5603182843
3801.8939632000,-11.9335562534
3981.0717055000,-12.3090043664
4168.6938347000,-12.6864911147
4365.1583224000,-13.0658565317
4570.8818961000,-13.4469517037
4786.3009232000,-13.8296382505
5011.8723363000,-14.2137877875
5248.0746025000,-14.5992813819
5495.4087386000,-14.9860090020
5754.3993734000,-15.3738689811
6025.5958607000,-15.7627674837
6309.5734448000,-16.1526179963
6606.9344801000,-16.5433408272
6918.3097092000,-16.9348626353
7244.3596007000,-17.3271159755
7585.7757503000,-17.7200388698
7943.2823472000,-18.1135744019
8317.6377110000,-18.5076703356
8709.6358996000,-18.9022787562
9120.1083936000,-19.2973557344
9549.9258602000,-19.6928610144
10000.0000000000,-20.0887577217
10471.2854810000,-20.4850120908
10964.7819610000,-20.8815932158
11481.5362150000,-21.2784728165
12022.6443460000,-21.6756250224
12589.2541180000,-22.0730261742
13182.5673860000,-22.4706546396
13803.8426460000,-22.8684906449
14454.3977070000,-23.2665161175
15135.6124840000,-23.6647145442
15848.9319250000,-24.0630708379
16595.8690740000,-24.4615712174
17378.0082870000,-24.8602030956
18197.0085860000,-25.2589549778
19054.6071800000,-25.6578163680
19952.6231500000,-26.0567776832
20892.9613090000,-26.4558301747
21877.6162390000,-26.8549658565
22908.6765280000,-27.2541774388
23988.3291900000,-27.6534582686
25118.8643150000,-28.0528022736
26302.6799190000,-28.4522039128
27542.2870330000,-28.8516581295
