x,y
10.0000000000,-0.5759805967
10.4712854810,-0.6031237659
10.9647819610,-0.6315458628
11.4815362150,-0.6613071185
12.0226443460,-0.6924705963
12.5892541180,-0.7251023240
13.1825673860,-0.7592714331
13.8038426460,-0.7950503035
14.4543977070,-0.8325147149
15.1356124840,-0.8717440061
15.8489319250,-0.9128212402
16.5958690740,-0.9558333781
17.3780082870,-1.0008714601
18.1970085860,-1.0480307948
19.0546071800,-1.0974111572
19.9526231500,-1.1491169958
20.8929613090,-1.2032576477
21.8776162390,-1.2599475650
22.9086765280,-1.3193065496
23.9883291900,-1.3814599991
25.1188643150,-1.4465391627
26.3026799190,-1.5146814088
27.5422870330,-1.5860305035
28.8403150310,-1.6607369006
30.1995172040,-1.7389580439
31.6227766020,-1.8208586821
33.1131121480,-1.9066111955
34.6736850450,-1.9963959365
36.3078054770,-2.0904015827
38.0189396320,-2.1888255036
39.8107170550,-2.2918741408
41.6869383470,-2.3997634014
43.6515832240,-2.5127190657
45.7088189610,-2.6309772076
47.8630092320,-2.7547846289
50.1187233630,-2.8843993067
52.4807460250,-3.0200908524
54.9540873860,-3.1621409838
57.5439937340,-3.3108440074
60.2559586070,-3.4665073108
63.0957344480,-3.6294518642
66.0693448010,-3.8000127280
69.1830970920,-3.9785395659
72.4435960070,-4.1653971597
75.8577575030,-4.3609659247
79.4328234720,-4.5656424192
83.1763771100,-4.7798398476
87.0963589960,-5.0039885490
91.2010839360,-5.2385364673
95.4992586020,-5.4839495965
100.0000000000,-5.7407123916
104.7128548100,-6.0093281386
109.6478196100,-6.2903192717
114.8153621500,-6.5842276275
120.2264434600,-6.8916146204
125.8925411800,-7.2130613288
131.8256738600,-7.5491684692
138.0384264600,-7.9005562443
144.5439770700,-8.2678640390
151.3561248400,-8.6517499478
158.4893192500,-9.0528900926
165.9586907400,-9.4719777219
173.7800828700,-9.9097220376
181.9700858600,-10.3668467330
190.5460718000,-10.8440881874
199.5262315000,-11.3421932908
208.9296130900,-11.8619168455
218.7761623900,-12.4040185031
229.0867652800,-12.9692591868
239.8832919000,-13.5583969567
251.1886431500,-14.1721822670
263.0267991900,-14.8113525666
275.4228703300,-15.4766262081
288.4031503100,-16.1686956205
301.9951720400,-16.8882197297
316.2277660200,-17.6358155920
331.1311214800,-18.4120492575
346.7368504500,-19.2174258670
363.0780547700,-20.0523790260
380.1893963200,-20.9172595256
398.1071705500,-21.8123234982
416.8693834700,-22.7377201555
436.5158322400,-23.6934792652
457.0881896100,-24.6794985946
478.6300923200,-25.6955315651
501.1872336300,-26.7411754258
524.8074602500,-27.8158602725
549.5408738600,-28.9188392892
575.4399373400,-30.0491806020
602.5595860700,-31.2057611422
630.9573444800,-32.3872629258
660.6934480100,-33.5921721131
691.8309709200,-34.8187811889
724.4359600700,-36.0651945118
758.5775750300,-37.3293374255
794.3282347200,-38.6089689786
831.7637711000,-39.9016982264
870.9635899600,-41.2050038990
912.0108393600,-42.5162571423
954.9925860200,-43.8327468647
1000.0000000000,-45.1517071322
1047.1285481000,-46.4703459557
1096.4781961000,-47.7858747418
1148.1536215000,-49.0955376602
1202.2644346000,-50.3966401718
1258.9254118000,-51.6865760068
1318.2567386000,-52.9628519601
1380.3842646000,-54.2231099580
1445.4397707000,-55.4651459818
1513.5612484000,-56.6869255482
1584.8931925000,-57.8865956089
1659.5869074000,-59.0624928227
1737.8008287000,-60.2131483219
1819.7008586000,-61.3372891385
1905.4607180000,-62.4338365991
1995.2623150000,-63.5019020128
2089.2961309000,-64.5407800369
2187.7616239000,-65.5499401264
2290.8676528000,-66.5290164548
2398.8329190000,-67.4777967117
2511.8864315000,-68.3962101297
2630.2679919000,-69.2843150584
2754.2287033000,-70.1422864058
2884.0315031000,-70.9704031456
3019.9517204000,-71.7690361435
3162.2776602000,-72.5386364358
3311.3112148000,-73.2797240862
3467.3685045000,-73.9928777254
3630.7805477000,-74.6787248198
3801.8939632000,-75.3379327114
3981.0717055000,-75.9712004369
4168.6938347000,-76.5792513174
4365.1583224000,-77.1628263062
4570.8818961000,-77.7226780595
4786.3009232000,-78.2595656937
5011.8723363000,-78.7742501859
5248.0746025000,-79.2674903675
5495.4087386000,-79.7400394756
5754.3993734000,-80.1926421969
6025.5958607000,-80.6260321732
6309.5734448000,-81.0409299088
6606.9344801000,-81.4380410573
6918.3097092000,-81.8180550205
7244.3596007000,-82.1816438464
7585.7757503000,-82.5294613776
7943.2823472000,-82.8621426245
