x,y
10.0000000000,-0.5759912473
10.3128316067,-0.5940088024
10.6354495749,-0.6125898806
10.9681600527,-0.6317520986
11.3112787659,-0.6515136233
11.6651313170,-0.6718931885
12.0300534942,-0.6929101129
12.4063915906,-0.7145843176
12.7945027321,-0.7369363457
13.1947552168,-0.7599873808
13.6075288642,-0.7837592674
14.0332153761,-0.8082745310
14.4722187074,-0.8335563995
14.9249554505,-0.8596288246
15.3918552299,-0.8865165045
15.8733611101,-0.9142449069
16.3699300161,-0.9428402927
16.8820331670,-0.9723297403
17.4101565230,-1.0027411713
17.9548012469,-1.0341033760
18.5164841791,-1.0664460402
19.0957383288,-1.0997997730
19.6931133791,-1.1341961350
20.3091762090,-1.1696676672
20.9445114315,-1.2062479215
21.5997219478,-1.2439714914
22.2754295200,-1.2828740436
22.9722753607,-1.3229923511
23.6909207418,-1.3643643267
24.4320476219,-1.4070290576
25.1963592932,-1.4510268409
25.9845810493,-1.4963992207
26.7974608733,-1.5431890252
27.6357701474,-1.5914404056
28.5003043852,-1.6411988761
29.3918839865,-1.6925113545
30.3113550157,-1.7454262042
31.2595900048,-1.7999932772
32.2374887815,-1.8562639587
33.2459793227,-1.9142912120
34.2860186356,-1.9741296255
35.3585936654,-2.0358354602
36.4647222321,-2.0994666986
37.6054539966,-2.1650830952
38.7818714561,-2.2327462275
39.9950909720,-2.3025195487
41.2462638290,-2.3744684415
42.5365773275,-2.4486602733
43.8672559105,-2.5251644523
45.2395623254,-2.6040524847
46.6547988223,-2.6853980337
48.1143083900,-2.7692769791
49.6194760300,-2.8557674782
51.1717300711,-2.9449500280
52.7725435248,-3.0369075277
54.4234354830,-3.1317253437
56.1259725595,-3.2294913737
57.8817703770,-3.3302961134
59.6924950997,-3.4342327225
61.5598650148,-3.5413970928
63.4856521631,-3.6518879156
65.4716840200,-3.7658067509
67.5198452307,-3.8832580954
69.6320793976,-4.0043494523
71.8103909254,-4.1291914000
74.0568469226,-4.2578976607
76.3735791638,-4.3905851694
78.7627861119,-4.5273741413
81.2267350048,-4.6683881386
83.7677640068,-4.8137541366
86.3882844274,-4.9636025871
89.0907830093,-5.1180674809
91.8778242886,-5.2772864073
94.7520530281,-5.4414006111
97.7161967270,-5.6105550463
100.7730682094,-5.7848984253
103.9255682937,-5.9645832647
107.1766885446,-6.1497659248
110.5295141126,-6.3406066440
113.9872266616,-6.5372695664
117.5531073878,-6.7399227614
121.2305401338,-6.9487382355
125.0230145991,-7.1638919339
128.9341296526,-7.3855637325
132.9675967466,-7.6139374166
137.1272434398,-7.8492006482
141.4170170289,-8.0915449179
145.8409882944,-8.3411654804
150.4033553638,-8.5982612738
155.1084476953,-8.8630348183
159.9607301861,-9.1356920949
164.9648074098,-9.4164423998
170.1254279853,-9.7054981754
175.4474890833,-10.0030748121
180.9360410739,-10.3093904222
186.5962923182,-10.6246655810
192.4336141116,-10.9491230334
198.4535457806,-11.2829873638
204.6617999392,-11.6264846259
211.0642679102,-11.9798419299
217.6670253153,-12.3432869848
224.4763378413,-12.7170475917
231.4986671851,-13.1013510864
238.7406771861,-13.4964237283
246.2092401495,-13.9024900316
253.9114433680,-14.3197720379
261.8545958474,-14.7484885265
270.0462352421,-15.1888541604
278.4941350081,-15.6410785659
287.2063117798,-16.1053653443
296.1910329773,-16.5819110146
305.4568246515,-17.0709038856
315.0124795755,-17.5725228587
324.8670655878,-18.0869361609
335.0299341977,-18.6143000101
345.5107294592,-19.1547572148
356.3193971229,-19.7084357118
367.4661940737,-20.2754470468
378.9616980645,-20.8558848040
390.8168177536,-21.4498229909
403.0428030568,-22.0573143892
415.6512558226,-22.6783888808
428.6541408421,-23.3130517615
442.0637972029,-23.9612820567
455.8929499981,-24.6230308541
470.1547224022,-25.2982196712
484.8626481239,-25.9867388760
500.0306842491,-26.6884461824
515.6732244855,-27.4031652402
531.8051128214,-28.1306843452
548.4416576121,-28.8707552904
565.5986461065,-29.6230923847
583.2923594286,-30.3873716615
601.5395880275,-31.1632303034
620.3576476104,-31.9502663035
639.7643955748,-32.7480383863
659.7782479540,-33.5560662074
680.4181968927,-34.3738308494
701.7038286704,-35.2007756258
723.6553422870,-36.0363072052
746.2935686310,-36.8797970599
769.6399902471,-37.7305832400
793.7167617218,-38.5879724692
818.5467307069,-39.4512425515
844.1534596013,-40.3196450764
870.5612479100,-41.1924083984
897.7951553033,-42.0687408690
925.8810253974,-42.9478342876
954.8455102782,-43.8288675379
984.7160957934,-44.7110103710
1015.5211276346,-45.5934272921
1047.2898382364,-46.4752815084
1080.0523745163,-47.3557388911
1113.8398264826,-48.2339719075
1148.6842567376,-49.1091634768
1184.6187309027,-49.9805107069
1221.6773489968,-50.8472284715
1259.8952777950,-51.7085527889
1299.3087842004,-52.5637439699
1339.9552696593,-53.4120895059
1381.8733056536,-54.2529066725
1425.1026703030,-55.0855448307
1469.6843861124,-55.9093874127
1515.6607589006,-56.7238535834
1563.0754179458,-57.5283995771
1611.9733573882,-58.3225197100
1662.4009789266,-59.1057470771
1714.4061358520,-59.8776539435
1768.0381784572,-60.6378518463
1823.3480008684,-61.3859914234
1880.3880893409,-62.1217619910
1939.2125720658,-62.8448908905
1999.8772705353,-63.5551426293
2062.4397525141,-64.2523178386
2126.9593866687,-64.9362520739
2193.4973989051,-65.6068144801
2262.1169304690,-66.2639063469
2332.8830978642,-66.9074595760
2405.8630546441,-67.5374350809
2481.1260551378,-68.1538211407
2558.7435201686,-68.7566317249
2638.7891048289,-69.3459048064
2721.3387683753,-69.9217006789
2806.4708463098,-70.4841002890
2894.2661247168,-71.0332035985
2984.8079169243,-71.5691279835
3078.1821425651,-72.0920066811
3174.4774091092,-72.6019872884
3273.7850959486,-73.0992303217
3376.1994411113,-73.5839078385
3481.8176306890,-74.0562021257
3590.7398910611,-74.5163044565
3703.0695840051,-74.9644139173
3818.9133047819,-75.4007363044
3938.3809832885,-75.8254830899
4061.5859883770,-76.2388704577
4188.6452354353,-76.6411184058
4319.6792973342,-77.0324499151
4454.8125188450,-77.4130901810
4594.1731346365,-77.7832659069
4737.8933909631,-78.1432046554
4886.1096711603,-78.4931342561
5038.9626250652,-78.8332822663
5196.5973024862,-79.1638754809
5359.1632908485,-79.4851394912
5526.8148571446,-79.7972982865
5699.7110943261,-80.1005738986
5878.0160722749,-80.3951860844
6061.8989934976,-80.6813520445
6251.5343536897,-80.9592861763
6447.1021073239,-81.2291998576
6648.7878384173,-81.4913012585
6856.7829366418,-81.7457951812
7071.2847789430,-81.9928829225
7292.4969168415,-82.2327621601
7520.6292695924,-82.4656268584
7755.8983233890,-82.6916671931
7998.5273367967,-82.9110694934
8248.7465526146,-83.1240161989
8506.7934163642,-83.3306858310
8772.9128016134,-83.5312529763
9047.3572423493,-83.7258882821
9330.3871726204,-83.9147584618
9622.2711736751,-84.0980263093
9923.2862288326,-84.2758507214
10233.7179863252,-84.4483867280
10553.8610303652,-84.6157855285
10884.0191606901,-84.7781945331
11224.5056808531,-84.9357574102
11575.6436955331,-85.0886141371
11937.7664171444,-85.2369010550
12311.2174820389,-85.3807509268
12696.3512765997,-85.5202929976
13093.5332735361,-85.6556530578
13503.1403786987,-85.7869535072
13925.5612887446,-85.9143134218
14361.1968599908,-86.0378486202
14810.4604888068,-86.1576717324
15273.7785039071,-86.2738922678
15751.5905709162,-86.3866166844
16244.3501095887,-86.4959484581
16752.5247240822,-86.6019881512
17276.5966466904,-86.7048334813
17817.0631954573,-86.8045793900
18374.4372461073,-86.9013181103
18949.2477187382,-86.9951392339
19542.0400797406,-87.0861297778
20153.3768594173,-87.1743742498
20783.8381857976,-87.2599547131
21434.0223351486,-87.3429508505
22104.5462997102,-87.4234400263
22796.0463731898,-87.5014973488
