x,y
10.0000000000,-0.0004389127
10.3128316067,-0.0004668019
10.6354495749,-0.0004964631
10.9681600527,-0.0005280089
11.3112787659,-0.0005615590
11.6651313170,-0.0005972408
12.0300534942,-0.0006351897
12.4063915906,-0.0006755496
12.7945027321,-0.0007184739
13.1947552168,-0.0007641252
13.6075288642,-0.0008126770
14.0332153761,-0.0008643134
14.4722187074,-0.0009192303
14.9249554505,-0.0009776362
15.3918552299,-0.0010397526
15.8733611101,-0.0011058153
16.3699300161,-0.0011760747
16.8820331670,-0.0012507976
17.4101565230,-0.0013302673
17.9548012469,-0.0014147853
18.5164841791,-0.0015046722
19.0957383288,-0.0016002689
19.6931133791,-0.0017019380
20.3091762090,-0.0018100651
20.9445114315,-0.0019250601
21.5997219478,-0.0020473591
22.2754295200,-0.0021774258
22.9722753607,-0.0023157534
23.6909207418,-0.0024628661
24.4320476219,-0.0026193217
25.1963592932,-0.0027857130
25.9845810493,-0.0029626706
26.7974608733,-0.0031508651
27.6357701474,-0.0033510095
28.5003043852,-0.0035638619
29.3918839865,-0.0037902286
30.3113550157,-0.0040309667
31.2595900048,-0.0042869880
32.2374887815,-0.0045592615
33.2459793227,-0.0048488179
34.2860186356,-0.0051567530
35.3585936654,-0.0054842318
36.4647222321,-0.0058324932
37.6054539966,-0.0062028541
38.7818714561,-0.0065967150
39.9950909720,-0.0070155646
41.2462638290,-0.0074609856
42.5365773275,-0.0079346608
43.8672559105,-0.0084383789
45.2395623254,-0.0089740417
46.6547988223,-0.0095436707
48.1143083900,-0.0101494148
49.6194760300,-0.0107935581
51.1717300711,-0.0114785287
52.7725435248,-0.0122069071
54.4234354830,-0.0129814364
56.1259725595,-0.0138050314
57.8817703770,-0.0146807905
59.6924950997,-0.0156120059
61.5598650148,-0.0166021762
63.4856521631,-0.0176550193
65.4716840200,-0.0187744852
67.5198452307,-0.0199647709
69.6320793976,-0.0212303354
71.8103909254,-0.0225759156
74.0568469226,-0.0240065433
76.3735791638,-0.0255275632
78.7627861119,-0.0271446519
81.2267350048,-0.0288638379
83.7677640068,-0.0306915231
86.3882844274,-0.0326345048
89.0907830093,-0.0346999998
91.8778242886,-0.0368956691
94.7520530281,-0.0392296446
97.7161967270,-0.0417105569
100.7730682094,-0.0443475644
103.9255682937,-0.0471503846
107.1766885446,-0.0501293262
110.5295141126,-0.0532953239
113.9872266616,-0.0566599740
117.5531073878,-0.0602355726
121.2305401338,-0.0640351548
125.0230145991,-0.0680725369
128.9341296526,-0.0723623595
132.9675967466,-0.0769201338
137.1272434398,-0.0817622885
141.4170170289,-0.0869062204
145.8409882944,-0.0923703458
150.4033553638,-0.0981741548
155.1084476953,-0.1043382673
159.9607301861,-0.1108844918
164.9648074098,-0.1178358851
170.1254279853,-0.1252168152
175.4474890833,-0.1330530254
180.9360410739,-0.1413717008
186.5962923182,-0.1502015361
192.4336141116,-0.1595728047
198.4535457806,-0.1695174303
204.6617999392,-0.1800690581
211.0642679102,-0.1912631281
217.6670253153,-0.2031369481
224.4763378413,-0.2157297672
231.4986671851,-0.2290828488
238.7406771861,-0.2432395429
246.2092401495,-0.2582453566
253.9114433680,-0.2741480232
261.8545958474,-0.2909975677
270.0462352421,-0.3088463695
278.4941350081,-0.3277492201
287.2063117798,-0.3477633752
296.1910329773,-0.3689486011
305.4568246515,-0.3913672125
315.0124795755,-0.4150841019
324.8670655878,-0.4401667590
335.0299341977,-0.4666852779
345.5107294592,-0.4947123517
356.3193971229,-0.5243232528
367.4661940737,-0.5555957965
378.9616980645,-0.5886102872
390.8168177536,-0.6234494454
403.0428030568,-0.6601983141
415.6512558226,-0.6989441422
428.6541408421,-0.7397762448
442.0637972029,-0.7827858382
455.8929499981,-0.8280658485
470.1547224022,-0.8757106933
484.8626481239,-0.9258160351
500.0306842491,-0.9784785068
515.6732244855,-1.0337954087
531.8051128214,-1.0918643767
548.4416576121,-1.1527830246
565.5986461065,-1.2166485583
583.2923594286,-1.2835573674
601.5395880275,-1.3536045930
620.3576476104,-1.4268836770
639.7643955748,-1.5034858944
659.7782479540,-1.5834998741
680.4181968927,-1.6670111109
701.7038286704,-1.7541014742
723.6553422870,-1.8448487195
746.2935686310,-1.9393260066
769.6399902471,-2.0376014312
793.7167617218,-2.1397375760
818.5467307069,-2.2457910865
844.1534596013,-2.3558122780
870.5612479100,-2.4698447791
897.7951553033,-2.5879252168
925.8810253974,-2.7100829482
954.8455102782,-2.8363398429
984.7160957934,-2.9667101190
1015.5211276346,-3.1012002360
1047.2898382364,-3.2398088462
1080.0523745163,-3.3825268045
1113.8398264826,-3.5293372378
1148.6842567376,-3.6802156720
1184.6187309027,-3.8351302143
1221.6773489968,-3.9940417892
1259.8952777950,-4.1569044232
1299.3087842004,-4.3236655746
1339.9552696593,-4.4942665034
1381.8733056536,-4.6686426753
1425.1026703030,-4.8467241957
1469.6843861124,-5.0284362654
1515.6607589006,-5.2136996545
1563.0754179458,-5.4024311872
1611.9733573882,-5.5945442321
1662.4009789266,-5.7899491925
1714.4061358520,-5.9885539919
1768.0381784572,-6.1902645503
1823.3480008684,-6.3949852456
1880.3880893409,-6.6026193591
1939.2125720658,-6.8130694988
1999.8772705353,-7.0262380014
2062.4397525141,-7.2420273075
2126.9593866687,-7.4603403110
2193.4973989051,-7.6810806811
2262.1169304690,-7.9041531552
2332.8830978642,-8.1294638039
2405.8630546441,-8.3569202678
2481.1260551378,-8.5864319662
2558.7435201686,-8.8179102796
2638.7891048289,-9.0512687056
2721.3387683753,-9.2864229906
2806.4708463098,-9.5232912382
2894.2661247168,-9.7617939954
2984.8079169243,-10.0018543194
3078.1821425651,-10.2433978243
3174.4774091092,-10.4863527124
3273.7850959486,-10.7306497880
3376.1994411113,-10.9762224593
