x,y
0.0000000000,0.0000000000
0.0000000200,0.0001256637
0.0000000236,0.0001480693
0.0000000307,0.0001928805
0.0000000450,0.0002825029
0.0000000735,0.0004617477
0.0000001305,0.0008202372
0.0000002447,0.0015372159
0.0000004729,0.0029711706
0.0000009293,0.0058390587
0.0000018422,0.0115746672
0.0000036680,0.0230445532
0.0000056680,0.0356054365
0.0000076680,0.0481606973
0.0000096680,0.0607083530
0.0000116680,0.0732464221
0.0000136680,0.0857729248
0.0000156680,0.0982858830
0.0000176680,0.1107833206
0.0000196680,0.1232632643
0.0000216680,0.1357237433
0.0000236680,0.1481627899
0.0000256680,0.1605784399
0.0000276680,0.1729687327
0.0000296680,0.1853317118
0.0000316680,0.1976654248
0.0000336680,0.2099679242
0.0000356680,0.2222372672
0.0000376680,0.2344715163
0.0000396680,0.2466687397
0.0000416680,0.2588270112
0.0000436680,0.2709444110
0.0000456680,0.2830190255
0.0000476680,0.2950489479
0.0000496680,0.3070322788
0.0000516680,0.3189671257
0.0000536680,0.3308516040
0.0000556680,0.3426838369
0.0000576680,0.3544619562
0.0000596680,0.3661841017
0.0000616680,0.3778484226
0.0000636680,0.3894530768
0.0000656680,0.4009962319
0.0000676680,0.4124760650
0.0000696680,0.4238907633
0.0000716680,0.4352385244
0.0000736680,0.4465175563
0.0000756680,0.4577260779
0.0000776680,0.4688623192
0.0000796680,0.4799245217
0.0000816680,0.4909109386
0.0000836680,0.5018198350
0.0000856680,0.5126494882
0.0000876680,0.5233981881
0.0000896680,0.5340642373
0.0000916680,0.5446459516
0.0000936680,0.5551416600
0.0000956680,0.5655497052
0.0000976680,0.5758684434
0.0000996680,0.5860962454
0.0001016680,0.5962314959
0.0001036680,0.6062725946
0.0001056680,0.6162179558
0.0001076680,0.6260660091
0.0001096680,0.6358151993
0.0001116680,0.6454639868
0.0001136680,0.6550108482
0.0001156680,0.6644542757
0.0001176680,0.6737927782
0.0001196680,0.6830248811
0.0001216680,0.6921491263
0.0001236680,0.7011640732
0.0001256680,0.7100682982
0.0001276680,0.7188603951
0.0001296680,0.7275389757
0.0001316680,0.7361026694
0.0001336680,0.7445501240
0.0001356680,0.7528800055
0.0001376680,0.7610909984
0.0001396680,0.7691818063
0.0001416680,0.7771511515
0.0001436680,0.7849977755
0.0001456680,0.7927204393
0.0001476680,0.8003179233
0.0001496680,0.8077890278
0.0001516680,0.8151325731
0.0001536680,0.8223473995
0.0001556680,0.8294323677
0.0001576680,0.8363863590
0.0001596680,0.8432082751
0.0001616680,0.8498970389
0.0001636680,0.8564515940
0.0001656680,0.8628709056
0.0001676680,0.8691539598
0.0001696680,0.8752997645
0.0001716680,0.8813073492
0.0001736680,0.8871757653
0.0001756680,0.8929040861
0.0001776680,0.8984914070
0.0001796680,0.9039368456
0.0001816680,0.9092395422
0.0001836680,0.9143986592
0.0001856680,0.9194133822
0.0001876680,0.9242829191
0.0001896680,0.9290065010
0.0001916680,0.9335833820
0.0001936680,0.9380128394
0.0001956680,0.9422941736
0.0001976680,0.9464267087
0.0001996680,0.9504097921
0.0002016680,0.9542427947
0.0002036680,0.9579251114
0.0002056680,0.9614561605
0.0002076680,0.9648353846
0.0002096680,0.9680622500
0.0002116680,0.9711362471
0.0002136680,0.9740568906
0.0002156680,0.9768237191
0.0002176680,0.9794362960
0.0002196680,0.9818942084
0.0002216680,0.9841970684
0.0002236680,0.9863445122
0.0002256680,0.9883362008
0.0002276680,0.9901718197
0.0002296680,0.9918510790
0.0002316680,0.9933737135
0.0002336680,0.9947394827
0.0002356680,0.9959481711
0.0002376680,0.9969995877
0.0002396680,0.9978935665
0.0002416680,0.9986299663
0.0002436680,0.9992086709
0.0002456680,0.9996295889
0.0002476680,0.9998926538
0.0002496680,0.9999978240
0.0002516680,0.9999450830
0.0002536680,0.9997344390
0.0002556680,0.9993659254
0.0002576680,0.9988396003
0.0002596680,0.9981555469
0.0002616680,0.9973138732
0.0002636680,0.9963147120
0.0002656680,0.9951582212
0.0002676680,0.9938445834
0.0002696680,0.9923740059
0.0002716680,0.9907467212
0.0002736680,0.9889629860
0.0002756680,0.9870230821
0.0002776680,0.9849273158
0.0002796680,0.9826760181
0.0002816680,0.9802695445
