x,y
0.0000000000,0.0000000000
0.0000000200,0.0000000157
0.0000000236,0.0000000190
0.0000000307,0.0000000266
0.0000000450,0.0000000478
0.0000000735,0.0000001141
0.0000001305,0.0000003426
0.0000002447,0.0000011827
0.0000004729,0.0000043941
0.0000009293,0.0000169305
0.0000018422,0.0000663702
0.0000036680,0.0002620179
0.0000056680,0.0006230486
0.0000076680,0.0011355955
0.0000096680,0.0017976940
0.0000116680,0.0026073796
0.0000136680,0.0035626876
0.0000156680,0.0046616530
0.0000176680,0.0059023108
0.0000196680,0.0072826956
0.0000216680,0.0088008423
0.0000236680,0.0104547855
0.0000256680,0.0122425597
0.0000276680,0.0141621998
0.0000296680,0.0162117405
0.0000316680,0.0183892166
0.0000336680,0.0206926633
0.0000356680,0.0231201159
0.0000376680,0.0256696100
0.0000396680,0.0283391816
0.0000416680,0.0311268673
0.0000436680,0.0340307038
0.0000456680,0.0370487289
0.0000476680,0.0401789805
0.0000496680,0.0434194977
0.0000516680,0.0467683201
0.0000536680,0.0502234884
0.0000556680,0.0537830440
0.0000576680,0.0574450298
0.0000596680,0.0612074894
0.0000616680,0.0650684679
0.0000636680,0.0690260118
0.0000656680,0.0730781689
0.0000676680,0.0772229885
0.0000696680,0.0814585217
0.0000716680,0.0857828214
0.0000736680,0.0901939421
0.0000756680,0.0946899406
0.0000776680,0.0992688754
0.0000796680,0.1039288077
0.0000816680,0.1086678005
0.0000836680,0.1134839196
0.0000856680,0.1183752332
0.0000876680,0.1233398121
0.0000896680,0.1283757301
0.0000916680,0.1334810638
0.0000936680,0.1386538929
0.0000956680,0.1438923003
0.0000976680,0.1491943720
0.0000996680,0.1545581977
0.0001016680,0.1599818707
0.0001036680,0.1654634878
0.0001056680,0.1710011497
0.0001076680,0.1765929613
0.0001096680,0.1822370314
0.0001116680,0.1879314732
0.0001136680,0.1936744041
0.0001156680,0.1994639465
0.0001176680,0.2052982270
0.0001196680,0.2111753773
0.0001216680,0.2170935342
0.0001236680,0.2230508393
0.0001256680,0.2290454399
0.0001276680,0.2350754884
0.0001296680,0.2411391431
0.0001316680,0.2472345676
0.0001336680,0.2533599320
0.0001356680,0.2595134119
0.0001376680,0.2656931894
0.0001396680,0.2718974529
0.0001416680,0.2781243973
0.0001436680,0.2843722243
0.0001456680,0.2906391421
0.0001476680,0.2969233662
0.0001496680,0.3032231191
0.0001516680,0.3095366306
0.0001536680,0.3158621382
